Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
100.0,Connor,McDavid,21,Edmonton Oilers,C,39,71,33,7,275,16
91.75,Nathan,MacKinnon,23,Colorado Avalanche,C,40,53,29,3,312,40
90.17,Sidney,Crosby,31,Pittsburgh Penguins,C,28,55,31,9,238,70
86.38,Evgeni,Malkin,32,Pittsburgh Penguins,C,36,59,33,2,240,41
85.36,Tyler,Seguin,26,Dallas Stars,C,35,49,28,-1,332,63
84.91,Patrice,Bergeron,33,Boston Bruins,C,34,41,25,8,271,54
78.95,Aleksander,Barkov,23,Florida Panthers,C,29,49,22,8,254,29
78.33,Jonathan,Marchessault,28,Vegas Golden Knights,C,28,39,19,7,261,92
74.34,Evgeny,Kuznetsov,26,Washington Capitals,C,25,54,29,3,208,51
74.23,Vincent,Trocheck,25,Florida Panthers,C,28,43,22,-2,258,134
73.92,Claude,Giroux,30,Philadelphia Flyers,C,26,58,33,0,216,32
73.83,Brayden,Schenn,27,St. Louis Blues,C,25,39,24,2,207,147
71.53,Auston,Matthews,21,Toronto Maple Leafs,C,43,39,23,-3,275,20
69.37,Nicklas,Backstrom,31,Washington Capitals,C,20,53,30,6,160,36
68.78,John,Tavares,28,Toronto Maple Leafs,C,34,45,26,-4,263,32
67.68,Mark,Scheifele,25,Winnipeg Jets,C,27,42,22,4,197,58
67.25,Steven,Stamkos,28,Tampa Bay Lightning,C,25,45,26,-1,230,65
67.04,Mitchell,Marner,21,Toronto Maple Leafs,C,24,51,25,2,211,31
66.48,William,Karlsson,25,Vegas Golden Knights,C,27,35,14,11,181,47
66.08,Anze,Kopitar,31,Los Angeles Kings,C,26,46,22,3,191,51
65.29,Jack,Eichel,22,Buffalo Sabres,C,29,46,26,-9,301,55
64.09,Brayden,Point,22,Tampa Bay Lightning,C,31,36,17,4,217,33
64.06,Ryan,Johansen,26,Nashville Predators,C,17,43,19,8,154,87
63.59,Joe,Pavelski,34,San Jose Sharks,C,25,34,19,3,206,84
63.16,Sean,Couturier,26,Philadelphia Flyers,C,27,36,15,5,205,59
63.02,Jonathan,Toews,30,Chicago Blackhawks,C,24,37,14,7,216,44
62.26,Sean,Monahan,24,Calgary Flames,C,31,39,22,-1,221,33
61.01,Rickard,Rakell,25,Anaheim Ducks,C,29,33,19,-5,233,114
60.37,Jordan,Staal,30,Carolina Hurricanes,C,21,29,10,4,168,171
59.23,Ryan,Getzlaf,33,Anaheim Ducks,C,14,49,21,1,151,114
59.17,Logan,Couture,29,San Jose Sharks,C,30,31,17,2,213,39
58.89,Jeff,Skinner,26,Buffalo Sabres,C,29,27,12,3,259,35
57.56,Leon,Draisaitl,23,Edmonton Oilers,C,27,47,22,-4,198,39
56.38,Ryan,Nugent-Hopkins,25,Edmonton Oilers,C,24,34,17,1,209,54
56.19,Jeff,Carter,33,Los Angeles Kings,C,29,25,18,-3,237,75
56.08,Mathew,Barzal,21,New York Islanders,C,21,63,26,-6,183,15
55.87,Mika,Zibanejad,25,New York Rangers,C,27,29,18,-5,236,95
55.12,Pierre-Luc,Dubois,20,Columbus Blue Jackets,C,20,34,15,0,183,114
54.96,Adam,Lowry,25,Winnipeg Jets,C,16,18,5,8,132,203
54.96,Jake,Guentzel,24,Pittsburgh Penguins,C,24,30,12,0,180,123
54.06,J.T.,Miller,25,Tampa Bay Lightning,C,20,36,16,0,152,117
53.86,Ryan,O'Reilly,27,St. Louis Blues,C,22,44,23,-5,218,35
53.56,Nick,Bjugstad,26,Florida Panthers,C,19,26,10,5,199,89
52.59,Eric,Staal,34,Minnesota Wild,C,29,33,14,-3,224,44
52.29,Mikael,Backlund,29,Calgary Flames,C,18,30,11,6,192,55
51.86,Tyler,Johnson,28,Tampa Bay Lightning,C,22,29,13,4,187,47
