Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
100.0,Brent,Burns,33,San Jose Sharks,D,16,49,26,3,298,70
89.91,Kris,Letang,31,Pittsburgh Penguins,D,13,48,21,5,228,112
87.58,John,Carlson,28,Washington Capitals,D,14,47,27,4,224,51
86.61,Roman,Josi,28,Nashville Predators,D,15,40,20,5,255,73
86.34,Victor,Hedman,28,Tampa Bay Lightning,D,16,45,22,0,219,111
80.67,P.K.,Subban,29,Nashville Predators,D,12,43,20,5,206,95
80.59,Seth,Jones,24,Columbus Blue Jackets,D,15,37,19,5,217,80
79.18,Dougie,Hamilton,25,Carolina Hurricanes,D,15,35,15,3,259,85
76.68,John,Klingberg,26,Dallas Stars,D,14,47,25,-1,204,42
76.22,Zach,Werenski,21,Columbus Blue Jackets,D,16,34,15,5,231,57
75.1,Shayne,Gostisbehere,25,Philadelphia Flyers,D,13,43,27,-4,231,49
74.78,Erik,Karlsson,28,San Jose Sharks,D,11,54,24,-6,232,63
74.75,Dustin,Byfuglien,33,Winnipeg Jets,D,9,33,19,3,208,156
74.7,Drew,Doughty,29,Los Angeles Kings,D,12,41,21,0,189,115
72.36,Morgan,Rielly,24,Toronto Maple Leafs,D,12,43,22,0,204,60
71.72,Mark,Giordano,35,Calgary Flames,D,11,30,11,14,187,79
70.31,Ryan,Ellis,27,Nashville Predators,D,12,31,12,12,191,58
69.58,Torey,Krug,27,Boston Bruins,D,11,41,21,0,201,68
67.46,Matt,Dumba,24,Minnesota Wild,D,13,28,13,3,185,131
65.92,Colton,Parayko,25,St. Louis Blues,D,10,29,12,6,200,110
63.32,Tyson,Barrie,27,Colorado Avalanche,D,11,41,24,-5,202,41
63.07,Justin,Faulk,26,Carolina Hurricanes,D,10,29,15,-2,228,119
62.46,Mikhail,Sergachev,20,Tampa Bay Lightning,D,8,35,14,7,163,88
62.26,Shea,Weber,33,Montreal Canadiens,D,11,21,13,1,190,160
61.9,Hampus,Lindholm,24,Anaheim Ducks,D,14,26,11,4,162,105
61.79,Rasmus,Ristolainen,24,Buffalo Sabres,D,8,36,21,-13,204,200
61.02,Charlie,McAvoy,21,Boston Bruins,D,7,36,9,8,126,150
60.56,Mattias,Ekholm,28,Nashville Predators,D,11,28,9,12,138,75
60.47,Jake,Muzzin,29,Los Angeles Kings,D,9,30,12,0,170,166
59.26,Josh,Manson,27,Anaheim Ducks,D,7,21,3,15,122,180
58.52,Oliver,Ekman-Larsson,27,Arizona Coyotes,D,10,33,14,-7,202,148
58.05,Ryan,Suter,33,Minnesota Wild,D,8,38,16,3,153,72
57.99,Alex,Pietrangelo,28,St. Louis Blues,D,12,35,13,-2,210,51
56.91,Ivan,Provorov,21,Philadelphia Flyers,D,11,30,8,-2,197,131
56.69,Jacob,Trouba,24,Winnipeg Jets,D,8,28,7,4,192,125
56.11,Jeff,Petry,31,Montreal Canadiens,D,9,29,13,-3,169,157
56.0,Colin,Miller,26,Vegas Golden Knights,D,9,27,10,2,164,139
55.8,Aaron,Ekblad,22,Florida Panthers,D,13,24,10,-1,214,79
53.69,Keith,Yandle,32,Florida Panthers,D,7,42,16,0,175,35
52.01,Will,Butcher,23,New Jersey Devils,D,5,42,18,6,114,29
51.38,Erik,Johnson,30,Colorado Avalanche,D,7,22,4,4,197,136
51.3,Jared,Spurgeon,29,Minnesota Wild,D,10,28,12,2,148,79
49.4,Noah,Hanifin,21,Calgary Flames,D,9,29,10,0,168,86
48.29,Josh,Morrissey,23,Winnipeg Jets,D,7,24,6,7,121,130
48.04,Ryan,Pulock,24,New York Islanders,D,9,23,10,-6,211,123
47.5,Oscar,Klefbom,25,Edmonton Oilers,D,9,24,9,-2,223,64
45.84,Jake,Gardiner,28,Toronto Maple Leafs,D,7,38,13,-1,128,66
45.68,Radko,Gudas,28,Philadelphia Flyers,D,4,20,1,5,144,201
45.64,Ryan,McDonagh,29,Tampa Bay Lightning,D,5,28,9,5,140,91
45.37,Erik,Gustafsson,26,Chicago Blackhawks,D,7,25,7,5,160,71
45.31,Sami,Vatanen,27,New Jersey Devils,D,6,29,13,-3,161,105
45.13,Jaccob,Slavin,24,Carolina Hurricanes,D,9,28,7,3,158,52
45.12,Darnell,Nurse,23,Edmonton Oilers,D,8,20,3,-2,190,156
44.29,Thomas,Chabot,21,Ottawa Senators,D,10,28,8,0,150,65
43.37,Olli,Maatta,24,Pittsburgh Penguins,D,8,19,6,2,149,121
43.25,Joel,Edmundson,25,St. Louis Blues,D,7,15,2,7,137,141
42.85,Kevin,Shattenkirk,29,New York Rangers,D,9,29,16,-9,173,73
42.83,Adam,Larsson,26,Edmonton Oilers,D,4,14,1,3,110,262
42.5,Brandon,Montour,24,Anaheim Ducks,D,8,23,8,-2,168,102
42.06,Damon,Severson,24,New Jersey Devils,D,8,27,7,-1,138,107
41.78,Noah,Juulsen,21,Montreal Canadiens,D,3,12,1,8,127,202
41.75,Esa,Lindell,24,Dallas Stars,D,7,22,6,3,141,102
41.73,Alexander,Edler,32,Vancouver Canucks,D,5,25,11,-8,178,157
41.71,Tyler,Myers,28,Winnipeg Jets,D,7,25,9,1,156,70
41.5,Justin,Schultz,28,Pittsburgh Penguins,D,6,29,12,2,134,51
40.49,Brent,Seabrook,33,Chicago Blackhawks,D,6,27,10,0,132,91
40.36,Cam,Fowler,27,Anaheim Ducks,D,8,28,10,0,157,32
