Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
100.0,Alex,Ovechkin,33,Washington Capitals,L,44,36,31,-6,328,152
94.56,Connor,McDavid,21,Edmonton Oilers,C,41,70,34,10,281,17
90.25,Nathan,MacKinnon,23,Colorado Avalanche,C,40,53,30,4,318,41
87.5,Taylor,Hall,27,New Jersey Devils,L,31,54,35,-6,289,63
84.82,Tyler,Seguin,26,Dallas Stars,C,32,49,27,1,330,64
83.93,Nikita,Kucherov,25,Tampa Bay Lightning,R,36,55,33,1,267,28
83.61,Evgeni,Malkin,32,Pittsburgh Penguins,C,37,58,32,0,237,39
80.33,Sidney,Crosby,31,Pittsburgh Penguins,C,32,53,30,12,238,70
79.24,David,Pastrnak,22,Boston Bruins,R,39,42,27,6,271,49
79.12,Blake,Wheeler,32,Winnipeg Jets,R,21,58,34,-2,239,83
77.96,Vladimir,Tarasenko,27,St. Louis Blues,R,35,37,24,-6,303,71
77.74,Jack,Eichel,22,Buffalo Sabres,C,28,49,25,-10,300,63
77.49,Vincent,Trocheck,25,Florida Panthers,C,28,41,23,-4,258,138
77.3,Patrice,Bergeron,33,Boston Bruins,C,33,44,28,7,272,54
76.48,Jamie,Benn,29,Dallas Stars,L,31,43,24,3,234,118
75.85,Patrick,Kane,30,Chicago Blackhawks,R,34,49,27,-1,283,13
75.03,Claude,Giroux,30,Philadelphia Flyers,C,27,57,33,0,223,34
74.43,Patrik,Laine,20,Winnipeg Jets,R,37,31,26,-3,271,66
73.99,John,Tavares,28,Toronto Maple Leafs,C,34,45,25,-3,268,36
73.87,Brad,Marchand,30,Boston Bruins,L,34,49,28,7,226,38
72.28,Evgeny,Kuznetsov,26,Washington Capitals,C,26,54,31,-3,205,54
72.21,Evander,Kane,27,San Jose Sharks,L,28,29,13,-7,311,150
71.99,Filip,Forsberg,24,Nashville Predators,L,34,36,22,15,244,90
71.77,Johnny,Gaudreau,25,Calgary Flames,L,27,58,29,-1,237,13
71.4,Phil,Kessel,31,Pittsburgh Penguins,R,30,49,30,0,246,12
71.27,Auston,Matthews,21,Toronto Maple Leafs,C,41,37,22,-2,266,19
71.14,Kyle,Palmieri,27,New Jersey Devils,R,32,29,25,-4,228,117
70.12,Brayden,Schenn,27,St. Louis Blues,C,24,40,23,-1,204,147
70.11,Steven,Stamkos,28,Tampa Bay Lightning,C,26,45,27,-3,231,70
69.97,Gabriel,Landeskog,26,Colorado Avalanche,L,30,36,20,8,205,141
68.38,Jonathan,Marchessault,28,Vegas Golden Knights,C,27,38,19,3,267,91
67.66,Artemi,Panarin,27,Columbus Blue Jackets,L,29,53,24,6,233,16
66.93,Rickard,Rakell,25,Anaheim Ducks,C,29,34,19,-2,233,110
66.75,Mikko,Rantanen,22,Colorado Avalanche,R,26,56,25,6,194,42
66.7,Patric,Hornqvist,31,Pittsburgh Penguins,R,27,24,16,1,252,159
66.09,Matthew,Tkachuk,21,Calgary Flames,L,28,43,20,5,213,86
65.96,Aleksander,Barkov,23,Florida Panthers,C,27,49,22,3,247,28
65.13,Mitchell,Marner,21,Toronto Maple Leafs,C,23,54,25,2,217,34
64.75,Sean,Monahan,24,Calgary Flames,C,32,41,23,0,225,30
64.66,Brendan,Gallagher,26,Montreal Canadiens,R,33,27,14,3,264,95
64.64,Sebastian,Aho,21,Carolina Hurricanes,R,27,46,19,9,227,62
64.58,Mark,Scheifele,25,Winnipeg Jets,C,29,43,24,7,197,57
64.03,Jakub,Voracek,29,Philadelphia Flyers,R,20,54,27,-6,224,25
63.33,Ryan,O'Reilly,27,St. Louis Blues,C,24,47,25,-3,220,36
63.25,Mika,Zibanejad,25,New York Rangers,C,27,31,18,-3,240,101
63.0,Leon,Draisaitl,23,Edmonton Oilers,C,30,45,22,4,202,37
62.74,Anders,Lee,28,New York Islanders,L,29,29,20,0,212,104
61.86,Anze,Kopitar,31,Los Angeles Kings,C,26,44,23,3,195,55
61.74,Mathew,Barzal,21,New York Islanders,C,19,63,27,-6,178,16
61.55,Brock,Boeser,21,Vancouver Canucks,R,30,35,21,-5,243,33
60.63,Nicklas,Backstrom,31,Washington Capitals,C,19,55,30,6,159,35
60.62,Mark,Stone,26,Ottawa Senators,R,24,45,22,1,187,65
60.01,Jeff,Carter,33,Los Angeles Kings,C,29,26,19,-5,237,76
59.67,Brayden,Point,22,Tampa Bay Lightning,C,32,39,18,10,212,33
