Value,First Name,Last Name,Age,Team,Position,GS,W,SV%,GAA,SO,G,A,PPP,+/-,SOG,HITS
100.0,Brent,Burns,33,San Jose Sharks,D,"","","","","",16,49,26,3,298,70
100.0,Connor,McDavid,21,Edmonton Oilers,C,"","","","","",39,71,33,7,275,16
100.0,Andrei,Vasilevskiy,24,Tampa Bay Lightning,G,63,37,0.9192,2.4897,4,"","","","","",""
96.31,John,Gibson,25,Anaheim Ducks,G,60,32,0.9212,2.4123,4,"","","","","",""
95.55,Pekka,Rinne,36,Nashville Predators,G,54,33,0.9209,2.3717,4,"","","","","",""
92.9,Braden,Holtby,29,Washington Capitals,G,61,31,0.9154,2.5073,4,"","","","","",""
92.75,Frederik,Andersen,29,Toronto Maple Leafs,G,63,37,0.9149,2.7317,4,"","","","","",""
92.66,Alex,Ovechkin,33,Washington Capitals,L,"","","","","",42,35,29,-1,329,141
91.75,Nathan,MacKinnon,23,Colorado Avalanche,C,"","","","","",40,53,29,3,312,40
91.15,Marc-Andre,Fleury,34,Vegas Golden Knights,G,59,30,0.9165,2.5043,4,"","","","","",""
91.11,Sergei,Bobrovsky,30,Columbus Blue Jackets,G,62,34,0.9203,2.4644,3,"","","","","",""
90.67,Connor,Hellebuyck,25,Winnipeg Jets,G,63,35,0.9181,2.5248,3,"","","","","",""
90.17,Sidney,Crosby,31,Pittsburgh Penguins,C,"","","","","",28,55,31,9,238,70
90.17,Devan,Dubnyk,32,Minnesota Wild,G,60,30,0.9233,2.3419,3,"","","","","",""
89.91,Kris,Letang,31,Pittsburgh Penguins,D,"","","","","",13,48,21,5,228,112
89.27,Mike,Smith,36,Calgary Flames,G,57,30,0.9143,2.5335,4,"","","","","",""
87.58,John,Carlson,28,Washington Capitals,D,"","","","","",14,47,27,4,224,51
86.61,Roman,Josi,28,Nashville Predators,D,"","","","","",15,40,20,5,255,73
86.43,Martin,Jones,28,San Jose Sharks,G,60,32,0.9106,2.5193,3,"","","","","",""
86.4,Nikita,Kucherov,25,Tampa Bay Lightning,R,"","","","","",36,56,33,2,273,24
86.38,Evgeni,Malkin,32,Pittsburgh Penguins,C,"","","","","",36,59,33,2,240,41
86.34,Victor,Hedman,28,Tampa Bay Lightning,D,"","","","","",16,45,22,0,219,111
85.97,Brad,Marchand,30,Boston Bruins,L,"","","","","",33,52,28,9,225,38
85.42,David,Pastrnak,22,Boston Bruins,R,"","","","","",37,43,25,7,264,51
85.36,Tyler,Seguin,26,Dallas Stars,C,"","","","","",35,49,28,-1,332,63
84.91,Patrice,Bergeron,33,Boston Bruins,C,"","","","","",34,41,25,8,271,54
