Value,First Name,Last Name,Age,Team,Position,GS,W,SV%,GAA,SO
100.0,Marc-Andre,Fleury,34,Vegas Golden Knights,G,62,33,0.9164,2.4665,7
89.75,Frederik,Andersen,29,Toronto Maple Leafs,G,64,40,0.9206,2.588,4
86.17,Pekka,Rinne,36,Nashville Predators,G,53,33,0.9246,2.2222,4
84.13,Andrei,Vasilevskiy,24,Tampa Bay Lightning,G,55,34,0.9209,2.4479,4
78.16,Ben,Bishop,32,Dallas Stars,G,52,26,0.9196,2.3831,4
77.8,John,Gibson,25,Anaheim Ducks,G,61,30,0.9211,2.5116,3
76.76,Braden,Holtby,29,Washington Capitals,G,59,31,0.9159,2.5666,3
76.29,Sergei,Bobrovsky,30,Columbus Blue Jackets,G,60,34,0.9202,2.4578,2
74.47,Connor,Hellebuyck,25,Winnipeg Jets,G,63,35,0.9133,2.6877,2
72.28,Devan,Dubnyk,32,Minnesota Wild,G,60,29,0.9173,2.4789,2
71.27,Mike,Smith,36,Calgary Flames,G,54,28,0.9071,2.6422,3
69.29,Semyon,Varlamov,30,Colorado Avalanche,G,52,26,0.918,2.6504,3
69.26,Martin,Jones,28,San Jose Sharks,G,58,31,0.9052,2.6982,2
68.97,Carey,Price,31,Montreal Canadiens,G,56,25,0.9106,2.7096,3
67.56,Brian,Elliott,33,Philadelphia Flyers,G,47,23,0.9156,2.4908,3
67.45,Tuukka,Rask,31,Boston Bruins,G,52,27,0.9149,2.497,2
65.37,Carter,Hutton,33,Buffalo Sabres,G,53,27,0.9173,2.6644,2
64.82,Craig,Anderson,37,Ottawa Senators,G,59,25,0.9104,3.0593,3
63.58,Keith,Kinkaid,29,New Jersey Devils,G,42,20,0.9094,2.7887,4
63.42,Cam,Talbot,31,Edmonton Oilers,G,59,26,0.9056,2.8727,2
62.96,Henrik,Lundqvist,36,New York Rangers,G,61,26,0.9177,2.6627,1
62.95,Antti,Raanta,29,Arizona Coyotes,G,50,23,0.9193,2.5627,2
62.72,Jake,Allen,28,St. Louis Blues,G,56,24,0.908,2.7536,2
59.63,Matt,Murray,24,Pittsburgh Penguins,G,48,24,0.904,3.0641,3
58.67,Robin,Lehner,27,New York Islanders,G,44,19,0.9134,2.8085,3
58.66,Corey,Crawford,34,Chicago Blackhawks,G,49,20,0.9167,2.6731,2
56.85,Casey,DeSmith,27,Pittsburgh Penguins,G,28,15,0.9244,2.3575,3
56.83,Jaroslav,Halak,33,Boston Bruins,G,29,16,0.9184,2.4194,3
56.38,Jonathan,Quick,32,Los Angeles Kings,G,39,16,0.9087,2.681,3
53.44,Jimmy,Howard,34,Detroit Red Wings,G,50,20,0.9145,2.7229,1
52.57,Thomas,Greiss,32,New York Islanders,G,37,19,0.9165,2.7252,2
52.5,Jacob,Markstrom,28,Vancouver Canucks,G,54,22,0.9078,2.9667,1
48.49,Juuse,Saros,23,Nashville Predators,G,28,18,0.91,2.7071,2
47.66,Linus,Ullmark,25,Buffalo Sabres,G,28,14,0.9221,2.5967,2
47.28,David,Rittich,26,Calgary Flames,G,27,16,0.9095,2.6654,2
