First Name,Last Name,Team,Age,position,ID,GS,W,EVSV%,SV%,SA/GP,GAA,SO
John,Gibson,ANA,25,G,8476434,60,32,0.9252,0.9178,30.1,2.4742,4
Ryan,Miller,ANA,38,G,8468011,22,12,0.9273,0.9199,30.1,2.411,1
Antti,Raanta,ARI,29,G,8477293,55,26,0.9327,0.9252,32.4,2.4235,3
Darcy,Kuemper,ARI,28,G,8475311,27,13,0.9177,0.9104,32.4,2.903,2
Tuukka,Rask,BOS,31,G,8471695,59,32,0.9222,0.9148,28.8,2.4538,4
Jaroslav,Halak,BOS,33,G,8470860,23,13,0.9175,0.9102,28.8,2.5862,2
Carter,Hutton,BUF,33,G,8475622,51,23,0.9249,0.9175,32.5,2.6813,3
Linus,Ullmark,BUF,25,G,8476999,31,14,0.9271,0.9197,32.5,2.6098,2
Mike,Smith,CGY,36,G,8469608,57,31,0.9249,0.9175,29.6,2.442,4
David,Rittich,CGY,26,G,8479496,25,13,0.9097,0.9024,29.6,2.889,2
Scott,Darling,CAR,30,G,8474152,34,18,0.9127,0.9054,28.2,2.6677,2
Petr,Mrazek,CAR,26,G,8475852,33,17,0.9183,0.9110,28.2,2.5098,2
Curtis,McElhinney,CAR,35,G,8470147,15,8,0.9244,0.9170,28.2,2.3406,1
Corey,Crawford,CHI,34,G,8470645,50,24,0.9312,0.9238,31.7,2.4155,3
Cam,Ward,CHI,34,G,8470320,21,10,0.9126,0.9053,31.7,3.002,1
Anton,Forsberg,CHI,26,G,8476341,11,5,0.9061,0.8989,31.7,3.2049,1
Semyon,Varlamov,COL,30,G,8473575,52,25,0.9195,0.9121,32.5,2.8568,3
Philipp,Grubauer,COL,27,G,8475831,30,15,0.9308,0.9234,32.5,2.4895,2
Sergei,Bobrovsky,CBJ,30,G,8475683,63,36,0.9319,0.9244,30.9,2.336,4
Joonas,Korpisalo,CBJ,24,G,8476914,19,11,0.9164,0.9091,30.9,2.8088,1
Ben,Bishop,DAL,32,G,8471750,54,26,0.9244,0.9170,29.5,2.4485,3
Anton,Khudobin,DAL,32,G,8471418,28,14,0.9118,0.9045,29.5,2.8173,2
Jimmy,Howard,DET,34,G,8470657,47,17,0.9176,0.9103,30.7,2.7538,2
Jonathan,Bernier,DET,30,G,8473541,35,12,0.9183,0.9110,30.7,2.7323,1
Cam,Talbot,EDM,31,G,8475660,65,32,0.9207,0.9133,30.9,2.679,4
Mikko,Koskinen,EDM,30,G,8475156,17,8,0.9190,0.9116,30.9,2.7316,1
Roberto,Luongo,FLA,39,G,8466141,40,20,0.9281,0.9207,31.9,2.5297,2
Michael,Hutchinson,FLA,28,G,8474636,10,5,0.91,0.9027,31.9,3.1039,1
James,Reimer,FLA,30,G,8473503,32,16,0.9266,0.9192,31.9,2.5775,2
Jonathan,Quick,LAK,32,G,8471734,50,23,0.9263,0.9189,28.1,2.2789,3
Jack,Campbell,LAK,26,G,8475789,24,11,0.9190,0.9116,28.1,2.484,1
Peter,Budaj,LAK,36,G,8469514,8,4,0.9216,0.9142,28.1,2.411,0
Devan,Dubnyk,MIN,32,G,8471227,60,30,0.9285,0.9211,30.0,2.367,4
Alex,Stalock,MIN,31,G,8471774,22,11,0.9098,0.9025,30.0,2.925,1
Carey,Price,MTL,31,G,8471679,55,26,0.9242,0.9168,30.5,2.5376,3
Antti,Niemi,MTL,35,G,8474550,27,13,0.9176,0.9103,30.5,2.7359,2
