First Name,Last Name,Team,Age,position,ID,GP,GS,W,L,OTL,SO,GAA,GA,SA,SV,SV%,ESGA,ESSV%,ESSV,EVSA,PPGA,PPSV%,PPSV,PPSA,SHGA,SHSV%,SHSV,SHSA
Roberto,Luongo,,39,G,8466141,137,132,70,45,14,8,2.4777,326,4161,3835,0.9216,245,0.9281,3164,3409,75,0.882,561,636,6,0.9482,110,116
Craig,Anderson,,37,G,8467950,158,155,79,59,15,11,2.8396,433,4930,4497,0.9121,328,0.9204,3797,4125,97,0.8598,595,692,8,0.9292,105,113
Ryan,Miller,,38,G,8468011,133,126,47,59,21,8,2.6811,340,4110,3770,0.9172,247,0.9273,3154,3401,84,0.8613,522,606,9,0.9126,94,103
Michael,Leighton,,37,G,8468038,5,3,2,2,0,0,3.1229,13,109,96,0.8807,12,0.8588,73,85,1,0.9565,22,23,0,1.0,1,1
Henrik,Lundqvist,,36,G,8468685,185,180,92,67,18,8,2.7274,478,5630,5152,0.915,364,0.9234,4388,4752,104,0.8624,652,756,10,0.918,112,122
Peter,Budaj,,36,G,8469514,69,63,34,24,4,7,2.3836,151,1659,1508,0.9089,107,0.9216,1259,1366,40,0.84,210,250,4,0.9069,39,43
Mike,Smith,,36,G,8469608,142,142,59,61,17,9,2.7546,374,4426,4052,0.9154,273,0.9249,3366,3639,84,0.8744,585,669,17,0.8559,101,118
Kari,Lehtonen,,35,G,8470140,139,121,62,49,12,6,2.7484,339,3613,3274,0.9061,238,0.9197,2729,2967,85,0.8434,458,543,16,0.8446,87,103
Curtis,McElhinney,,35,G,8470147,57,42,21,20,6,4,2.6854,132,1561,1429,0.9154,96,0.9244,1174,1270,33,0.8754,232,265,3,0.8846,23,26
Cam,Ward,,34,G,8470320,156,154,72,53,26,5,2.6066,396,4241,3845,0.9066,323,0.9126,3374,3697,62,0.8669,404,466,11,0.8589,67,78
Marc-Andre,Fleury,,34,G,8470594,142,138,82,40,17,10,2.4621,339,4222,3883,0.9197,261,0.9256,3248,3509,73,0.8822,547,620,5,0.9462,88,93
Corey,Crawford,,34,G,8470645,141,140,83,45,11,11,2.4211,329,4251,3922,0.9226,240,0.9312,3250,3490,83,0.8763,588,671,6,0.9333,84,90
Jimmy,Howard,,34,G,8470657,123,114,46,52,15,4,2.6802,301,3424,3123,0.912,233,0.9176,2597,2830,64,0.8747,447,511,4,0.9518,79,83
Jaroslav,Halak,,33,G,8470860,118,111,50,48,15,6,2.8211,316,3613,3297,0.9125,245,0.9175,2727,2972,62,0.8886,495,557,9,0.8928,75,84
Brian,Elliott,,33,G,8470880,134,125,72,37,16,7,2.4457,311,3679,3368,0.9154,223,0.925,2751,2974,79,0.8689,524,603,9,0.9117,93,102
Al,Montoya,,33,G,8471219,57,48,24,16,9,2,2.5758,136,1523,1387,0.9107,103,0.9196,1179,1282,31,0.8523,179,210,2,0.9354,29,31
Devan,Dubnyk,,32,G,8471227,192,188,107,61,18,15,2.3632,436,5440,5004,0.9198,327,0.9285,4252,4579,101,0.8649,647,748,8,0.9292,105,113
Cory,Schneider,,32,G,8471239,158,157,64,68,23,7,2.5972,399,4606,4207,0.9133,291,0.9229,3487,3778,92,0.8678,604,696,16,0.8787,116,132
Justin,Peters,,32,G,8471251,3,1,0,1,0,0,3.1598,7,70,63,0.9,5,0.9242,61,66,2,0.5,2,4,0,0.0,0,0
Jeff,Glass,,33,G,8471301,15,13,3,7,3,0,3.3621,46,452,406,0.8982,35,0.9064,339,374,9,0.8695,60,69,2,0.7777,7,9
Thomas,Greiss,,32,G,8471306,119,112,62,37,11,5,2.8304,311,3529,3218,0.9118,239,0.9197,2740,2979,61,0.8693,406,467,11,0.8674,72,83
Karri,Ramo,,32,G,8471403,37,37,17,18,1,1,2.6298,94,1034,940,0.909,74,0.9168,816,890,17,0.8595,104,121,3,0.8695,20,23
Anton,Khudobin,,32,G,8471418,56,50,26,15,8,2,2.601,131,1456,1325,0.91,102,0.9118,1055,1157,23,0.9045,218,241,6,0.8965,52,58
Pekka,Rinne,,36,G,8471469,186,186,107,53,23,15,2.4079,439,5341,4902,0.9178,318,0.9274,4067,4385,113,0.8623,708,821,8,0.9407,127,135
Carey,Price,,31,G,8471679,123,122,63,48,12,6,2.5616,310,3646,3336,0.9149,228,0.9242,2783,3011,73,0.864,464,537,9,0.9081,89,98
Tuukka,Rask,,31,G,8471695,183,179,102,56,18,15,2.3873,419,4977,4558,0.9158,320,0.9222,3798,4118,88,0.8796,643,731,11,0.914,117,128
Ondrej,Pavelec,,31,G,8471715,60,51,21,26,5,2,2.9609,160,1661,1501,0.9036,113,0.9156,1227,1340,40,0.8545,235,275,7,0.8478,39,46
Jonathan,Quick,,32,G,8471734,149,148,81,56,10,12,2.2979,331,4108,3777,0.9194,246,0.9263,3093,3339,80,0.882,598,678,5,0.945,86,91
Ben,Bishop,,32,G,8471750,153,148,79,53,14,12,2.3257,337,4149,3812,0.9187,254,0.9244,3107,3361,74,0.8906,603,677,9,0.9189,102,111
Alex,Stalock,,31,G,8471774,43,34,14,16,6,1,2.8055,107,1126,1019,0.9049,78,0.9098,787,865,25,0.8863,195,220,4,0.9024,37,41
Niklas,Backstrom,,40,G,8473404,4,3,2,2,0,0,3.3517,13,109,96,0.8807,9,0.8941,76,85,4,0.8181,18,22,0,1.0,2,2
Chad,Johnson,,32,G,8473434,117,105,50,47,8,4,2.7658,294,3201,2907,0.9081,221,0.9159,2408,2629,66,0.868,434,500,7,0.9027,65,72
Steve,Mason,,30,G,8473461,125,119,54,46,19,8,2.6515,312,3550,3238,0.9121,225,0.924,2738,2963,77,0.8425,412,489,10,0.8979,88,98
Reto,Berra,,31,G,8473499,26,17,6,14,0,2,2.6649,54,614,560,0.912,35,0.9285,455,490,15,0.8636,95,110,4,0.7142,10,14
James,Reimer,,30,G,8473503,127,118,57,44,18,10,2.6129,306,3723,3417,0.9178,227,0.9266,2868,3095,69,0.875,483,552,10,0.8684,66,76
Jhonas,Enroth,,30,G,8473523,22,17,7,8,2,2,2.6,49,539,490,0.909,38,0.9155,412,450,11,0.8589,67,78,0,1.0,11,11
Jonathan,Bernier,,30,G,8473541,114,103,52,41,10,7,2.7453,281,3188,2907,0.9118,211,0.9183,2374,2585,57,0.8928,475,532,13,0.8169,58,71
Jeff,Zatkoff,,31,G,8473553,27,19,6,14,2,0,2.8539,61,631,570,0.9033,53,0.8984,469,522,5,0.9479,91,96,3,0.7692,10,13
Semyon,Varlamov,,30,G,8473575,132,127,57,58,9,5,2.8663,352,4054,3702,0.9131,267,0.9195,3052,3319,76,0.8768,541,617,9,0.9237,109,118
Michal,Neuvirth,,30,G,8473607,82,71,38,26,8,4,2.5261,178,2024,1846,0.912,129,0.9226,1539,1668,42,0.8618,262,304,7,0.8653,45,52
Richard,Bachman,,31,G,8473614,6,6,3,3,0,0,2.7038,16,193,177,0.917,14,0.9161,153,167,2,0.9166,22,24,0,1.0,2,2
Jonas,Hiller,,36,G,8473972,26,23,9,11,1,1,3.5088,79,654,575,0.8792,53,0.8988,471,524,24,0.7818,86,110,2,0.9,18,20
Jeremy,Smith,,29,G,8474092,10,8,1,6,1,0,3.5377,32,286,254,0.8881,24,0.9032,224,248,7,0.7941,27,34,1,0.75,3,4
Scott,Darling,,30,G,8474152,104,91,43,34,16,3,2.7779,265,2832,2567,0.9064,212,0.9127,2217,2429,45,0.864,286,331,8,0.8888,64,72
Antti,Niemi,,35,G,8474550,109,93,44,34,15,4,2.9592,276,2836,2560,0.9026,190,0.9176,2116,2306,71,0.8425,380,451,15,0.8101,64,79
Jacob,Markstrom,,28,G,8474593,119,110,46,51,14,2,2.6953,300,3425,3125,0.9124,222,0.9211,2595,2817,67,0.8678,440,507,11,0.891,90,101
Jake,Allen,,28,G,8474596,167,160,86,60,11,11,2.5175,391,4494,4103,0.9129,296,0.9207,3441,3737,81,0.8759,572,653,14,0.8653,90,104
Michael,Hutchinson,,28,G,8474636,61,48,20,28,6,1,2.8903,149,1570,1421,0.905,111,0.91,1123,1234,33,0.8877,261,294,5,0.8809,37,42
Braden,Holtby,,29,G,8474651,183,183,124,38,17,12,2.3854,421,5140,4719,0.918,317,0.926,3969,4286,94,0.8703,631,725,10,0.9224,119,129
Harri,Sateri,,29,G,8474667,9,7,4,4,0,0,2.9232,24,271,247,0.9114,17,0.9223,202,219,5,0.878,36,41,2,0.8181,9,11
Dustin,Tokarski,,29,G,8474682,7,4,1,3,0,0,3.0514,12,103,91,0.8834,9,0.8928,75,84,3,0.8333,15,18,0,1.0,1,1
Anders,Lindback,,30,G,8474765,19,13,5,7,1,0,3.1121,47,443,396,0.8939,32,0.9067,311,343,14,0.8352,71,85,1,0.9333,14,15
Martin,Jones,,28,G,8474889,190,190,102,68,16,12,2.3995,440,5158,4718,0.9146,346,0.9183,3894,4240,87,0.8865,680,767,7,0.9536,144,151
Anders,Nilsson,,28,G,8475195,82,71,27,37,10,3,3.0751,228,2496,2268,0.9086,163,0.9196,1865,2028,58,0.8553,343,401,7,0.8955,60,67
Robin,Lehner,,27,G,8475215,133,129,42,61,22,6,2.7729,343,4104,3761,0.9164,266,0.921,3103,3369,66,0.8938,556,622,11,0.9026,102,113
J-F,Berube,,27,G,8475234,34,23,9,10,4,0,3.39,90,879,789,0.8976,69,0.9065,669,738,19,0.8455,104,123,2,0.8888,16,18
Joni,Ortio,,27,G,8475299,22,19,7,9,5,1,2.7574,55,564,509,0.9024,42,0.9121,436,478,11,0.8513,63,74,2,0.8333,10,12
Darcy,Kuemper,,28,G,8475311,68,58,26,19,13,6,2.6667,165,1902,1737,0.9132,132,0.9177,1472,1604,27,0.8897,218,245,6,0.8867,47,53
Jonas,Gustavsson,,34,G,8475361,31,25,12,12,2,1,2.7969,74,761,687,0.9027,58,0.9103,589,647,15,0.8404,79,94,1,0.95,19,20
Carter,Hutton,,33,G,8475622,79,62,37,20,9,9,2.2532,152,1937,1785,0.9215,120,0.9249,1478,1598,27,0.9032,252,279,5,0.9166,55,60
Cam,Talbot,,31,G,8475660,196,193,94,80,16,11,2.646,496,5801,5305,0.9144,382,0.9207,4441,4823,108,0.873,743,851,6,0.9527,121,127
Eddie,Lack,,30,G,8475663,62,54,22,25,9,3,2.8805,161,1579,1418,0.898,128,0.9069,1248,1376,27,0.8363,138,165,6,0.8421,32,38
Ben,Scrivens,,32,G,8475681,15,14,5,8,0,0,3.0658,42,447,405,0.906,27,0.9262,339,366,9,0.8656,58,67,6,0.5714,8,14
Sergei,Bobrovsky,,30,G,8475683,165,165,93,58,12,13,2.3543,382,4896,4514,0.9219,279,0.9319,3819,4098,94,0.8631,593,687,9,0.9189,102,111
Calvin,Pickard,,26,G,8475717,71,62,22,37,4,3,2.885,186,2028,1842,0.9082,141,0.9159,1537,1678,43,0.8585,261,304,2,0.9565,44,46
Jack,Campbell,,26,G,8475789,6,4,2,0,2,0,2.3027,11,150,139,0.9266,11,0.9035,103,114,0,1.0,24,24,0,1.0,12,12
Scott,Wedgewood,,26,G,8475809,24,21,7,10,5,2,3.051,68,703,635,0.9032,55,0.9107,561,616,10,0.855,59,69,3,0.8333,15,18
Philipp,Grubauer,,27,G,8475831,81,63,36,25,6,6,2.2497,159,2061,1902,0.9228,115,0.9308,1547,1662,40,0.8866,313,353,4,0.913,42,46
Louis,Domingue,,26,G,8475839,89,78,33,42,7,2,3.0009,244,2608,2364,0.9064,169,0.9203,1953,2122,67,0.8369,344,411,8,0.8933,67,75
Petr,Mrazek,,26,G,8475852,143,126,59,50,21,9,2.7745,366,3990,3624,0.9082,271,0.9183,3050,3321,85,0.8544,499,584,10,0.8823,75,85
Zane,McIntyre,,26,G,8475876,8,3,0,4,1,0,3.9685,22,155,133,0.858,17,0.8595,104,121,4,0.8571,24,28,1,0.8333,5,6
Frederik,Andersen,,29,G,8475883,175,169,93,46,26,12,2.6377,439,5349,4910,0.9179,344,0.9229,4118,4462,83,0.8894,668,751,12,0.9117,124,136
Keith,Kinkaid,,29,G,8476234,90,81,43,32,7,4,2.7402,229,2597,2368,0.9118,177,0.9169,1955,2132,47,0.8833,356,403,5,0.9193,57,62
Laurent,Brossoit,,25,G,8476316,27,19,7,12,2,0,3.017,69,638,569,0.8918,50,0.9051,477,527,15,0.8314,74,89,4,0.8181,18,22
Anton,Forsberg,,26,G,8476341,40,34,11,20,4,0,3.013,98,1045,947,0.9062,82,0.9061,792,874,16,0.8796,117,133,0,1.0,38,38
Garret,Sparks,,25,G,8476343,17,17,6,9,1,1,3.0155,49,456,407,0.8925,37,0.9026,343,380,11,0.8405,58,69,1,0.8571,6,7
Magnus,Hellberg,,27,G,8476433,3,1,1,0,0,0,2.4361,4,34,30,0.8823,3,0.9062,29,32,0,0.0,0,0,1,0.5,1,2
John,Gibson,,25,G,8476434,152,147,77,47,20,14,2.262,327,4301,3974,0.9239,260,0.9252,3220,3480,61,0.9163,668,729,6,0.9347,86,92
Christopher,Gibson,,26,G,8476444,12,10,3,4,3,0,3.5754,37,377,340,0.9018,30,0.9062,290,320,6,0.8867,47,53,1,0.75,3,4
Maxime,Lagace,,25,G,8476509,16,14,6,7,1,0,3.9152,57,430,373,0.8674,42,0.8761,297,339,14,0.8271,67,81,1,0.9,9,10
Oscar,Dansk,,24,G,8476861,4,3,3,0,0,1,1.7793,5,93,88,0.9462,3,0.961,74,77,1,0.9285,13,14,1,0.5,1,2
Malcolm,Subban,,25,G,8476876,23,20,13,5,2,0,2.7601,58,630,572,0.9079,45,0.9136,476,521,12,0.8681,79,91,1,0.9444,17,18
Andrei,Vasilevskiy,,24,G,8476883,139,132,78,44,10,11,2.638,348,4201,3853,0.9171,255,0.9253,3160,3415,86,0.8755,605,691,7,0.9263,88,95
Matt,Murray,,24,G,8476899,111,105,68,28,8,6,2.5834,269,3228,2959,0.9166,202,0.9232,2431,2633,59,0.8788,428,487,8,0.9259,100,108
Jon,Gillies,,24,G,8476903,12,10,4,5,1,0,2.707,30,308,278,0.9025,26,0.8938,219,245,4,0.9183,45,49,0,1.0,14,14
Joonas,Korpisalo,,24,G,8476914,63,60,31,24,6,1,2.8662,174,1934,1760,0.91,136,0.9164,1492,1628,33,0.873,227,260,5,0.8913,41,46
Anthony,Stolarz,,24,G,8476932,7,4,2,1,1,1,2.074,13,181,168,0.9281,7,0.952,139,146,4,0.8666,26,30,2,0.6,3,5
Connor,Hellebuyck,,25,G,8476945,149,143,83,41,14,12,2.5471,358,4303,3945,0.9168,253,0.9259,3164,3417,96,0.8751,673,769,9,0.923,108,117
Marek,Mazanec,,27,G,8476992,4,2,0,2,0,0,4.7301,14,87,73,0.839,9,0.8676,59,68,4,0.7647,13,17,1,0.5,1,2
Linus,Ullmark,,25,G,8476999,26,24,9,13,2,0,2.518,60,724,664,0.9171,47,0.9271,598,645,9,0.8615,56,65,4,0.7142,10,14
Aaron,Dell,,29,G,8477180,49,39,26,11,5,3,2.3702,104,1308,1204,0.9204,79,0.9285,1026,1105,21,0.8719,143,164,4,0.8974,35,39
Andrew,Hammond,,30,G,8477202,31,26,7,14,4,1,2.8062,77,831,754,0.9073,50,0.9285,650,700,26,0.7815,93,119,1,0.9166,11,12
Jared,Coreau,,27,G,8477225,21,21,5,9,4,2,3.7359,68,565,497,0.8796,51,0.8905,415,466,13,0.8488,73,86,4,0.6923,9,13
Mike,Condon,,28,G,8477237,127,115,45,56,17,6,2.7567,325,3478,3153,0.9065,247,0.914,2628,2875,72,0.856,428,500,6,0.9417,97,103
Antti,Raanta,,29,G,8477293,102,90,48,31,10,8,2.2471,201,2700,2499,0.9255,152,0.9327,2108,2260,46,0.8776,330,376,3,0.9531,61,64
Juuse,Saros,,23,G,8477424,48,43,21,14,10,4,2.4177,111,1447,1336,0.9232,87,0.9267,1100,1187,23,0.9029,214,237,1,0.9565,22,23
Tristan,Jarry,,23,G,8477465,27,24,14,7,2,2,2.7834,66,712,646,0.9073,53,0.9094,532,585,12,0.8857,93,105,1,0.9545,21,22
Eric,Comrie,,23,G,8477480,4,4,2,2,0,0,4.0044,16,133,117,0.8796,15,0.878,108,123,1,0.8571,6,7,0,1.0,3,3
Spencer,Martin,,23,G,8477484,3,3,0,2,1,0,4.347,13,96,83,0.8645,11,0.8607,68,79,2,0.8666,13,15,0,1.0,2,2
Adin,Hill,,22,G,8478499,4,4,1,3,0,0,3.489,14,129,115,0.8914,12,0.8983,106,118,2,0.7777,7,9,0,1.0,2,2
Ken,Appleby,,23,G,8478965,3,1,0,1,0,0,1.4477,3,55,52,0.9454,2,0.9555,43,45,0,1.0,7,7,1,0.6666,2,3
Casey,DeSmith,,27,G,8479193,14,11,6,4,1,1,2.3994,28,356,328,0.9213,19,0.933,265,284,8,0.8333,40,48,1,0.9583,23,24
Charlie,Lindgren,,25,G,8479292,17,17,7,8,2,2,2.7792,47,544,497,0.9136,33,0.9277,424,457,12,0.8378,62,74,2,0.8461,11,13
Alex,Lyon,,26,G,8479312,11,7,4,2,1,0,2.7511,22,232,210,0.9051,19,0.9068,185,204,3,0.8636,19,22,0,1.0,6,6
David,Rittich,,26,G,8479496,22,16,8,6,3,0,2.9176,50,522,472,0.9042,38,0.9097,383,421,11,0.875,77,88,1,0.923,12,13
Alexandar,Georgiev,,22,G,8480382,10,9,4,4,1,0,3.147,27,331,304,0.9184,22,0.9228,263,285,5,0.8809,37,42,0,1.0,4,4
