Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
92.66,Alex,Ovechkin,33,Washington Capitals,L,42,35,29,-1,329,141
85.97,Brad,Marchand,30,Boston Bruins,L,33,52,28,9,225,38
83.31,Taylor,Hall,27,New Jersey Devils,L,32,53,33,-2,291,65
83.1,Filip,Forsberg,24,Nashville Predators,L,32,38,21,10,238,88
80.43,Jamie,Benn,29,Dallas Stars,L,32,46,26,1,238,114
76.4,Artemi,Panarin,27,Columbus Blue Jackets,L,29,53,26,6,224,16
73.95,Gabriel,Landeskog,26,Colorado Avalanche,L,27,34,18,7,201,133
71.32,Matthew,Tkachuk,21,Calgary Flames,L,27,42,22,3,219,87
71.05,Johnny,Gaudreau,25,Calgary Flames,L,28,57,29,-1,237,13
70.31,Evander,Kane,27,San Jose Sharks,L,30,28,13,-2,310,149
66.44,Jaden,Schwartz,26,St. Louis Blues,L,24,40,17,7,200,62
65.23,Jason,Zucker,26,Minnesota Wild,L,28,29,12,7,223,77
63.48,Teuvo,Teravainen,24,Carolina Hurricanes,L,20,41,19,9,188,28
61.04,Viktor,Arvidsson,25,Nashville Predators,L,30,30,11,5,243,33
59.46,Jonathan,Huberdeau,25,Florida Panthers,L,26,43,18,0,214,39
57.81,Micheal,Ferland,26,Carolina Hurricanes,L,20,21,7,6,169,175
56.97,Nikolaj,Ehlers,22,Winnipeg Jets,L,25,37,17,0,222,43
55.71,Kyle,Connor,22,Winnipeg Jets,L,29,31,13,3,216,20
55.66,Max,Pacioretty,30,Vegas Golden Knights,L,23,26,14,-4,251,128
54.53,Chris,Kreider,27,New York Rangers,L,23,24,14,-1,196,135
53.07,Ondrej,Palat,27,Tampa Bay Lightning,L,16,33,14,3,157,114
52.93,James,van Riemsdyk,29,Philadelphia Flyers,L,26,26,16,1,214,40
51.07,David,Perron,30,St. Louis Blues,L,18,37,20,-3,150,112
50.23,Milan,Lucic,30,Edmonton Oilers,L,14,24,10,-1,130,231
50.09,Zach,Parise,34,Minnesota Wild,L,23,24,9,3,219,51
49.48,Anders,Lee,28,New York Islanders,L,28,25,17,-8,212,106
48.16,Nick,Foligno,31,Columbus Blue Jackets,L,17,23,9,0,153,169
47.8,Jake,DeBrusk,22,Boston Bruins,L,19,29,10,2,179,76
46.74,Tomas,Tatar,28,Montreal Canadiens,L,22,23,11,2,172,70
46.19,James,Neal,31,Calgary Flames,L,24,21,10,-1,217,64
46.02,Carl,Hagelin,30,Pittsburgh Penguins,L,13,21,3,8,158,112
45.42,Pat,Maroon,30,St. Louis Blues,L,16,23,10,-1,153,155
45.35,Mike,Hoffman,29,Florida Panthers,L,24,32,19,-8,236,31
44.8,Alex,Killorn,29,Tampa Bay Lightning,L,17,23,11,3,156,84
44.52,Alexander,Steen,34,St. Louis Blues,L,16,32,16,0,158,59
44.14,Brandon,Tanev,27,Winnipeg Jets,L,8,12,0,7,109,233
43.07,Kevin,Fiala,22,Nashville Predators,L,22,26,11,-1,195,40
42.72,Erik,Haula,27,Vegas Golden Knights,L,22,22,11,-2,175,82
42.07,Charles,Hudon,24,Montreal Canadiens,L,14,24,9,-3,184,135
41.13,Brandon,Saad,26,Chicago Blackhawks,L,20,24,7,0,214,36
40.96,Artturi,Lehkonen,23,Montreal Canadiens,L,18,19,5,1,194,83
40.04,Jakub,Vrana,22,Washington Capitals,L,16,18,5,7,160,45
39.17,Tanner,Pearson,26,Los Angeles Kings,L,18,23,7,-3,168,111
38.83,Nick,Ritchie,23,Anaheim Ducks,L,11,16,4,0,128,194
38.54,Paul,Byron,29,Montreal Canadiens,L,18,18,2,2,120,133
37.8,Andrew,Cogliano,31,Anaheim Ducks,L,14,21,3,4,156,77
35.56,Max,Domi,23,Montreal Canadiens,L,15,36,14,-6,157,50
35.06,Nicolas,Deslauriers,27,Montreal Canadiens,L,8,7,0,0,93,265
34.57,Anthony,Duclair,23,Columbus Blue Jackets,L,17,20,7,1,139,59
33.66,Tyler,Bertuzzi,23,Detroit Red Wings,L,13,23,8,-2,136,98
33.23,Miles,Wood,23,New Jersey Devils,L,17,20,6,-4,175,83
33.12,Brock,McGinn,24,Carolina Hurricanes,L,14,17,4,-3,145,138
32.9,Ryan,Dzingel,26,Ottawa Senators,L,18,21,6,-2,147,69
32.66,William,Carrier,24,Vegas Golden Knights,L,7,8,0,-1,113,239
32.54,Matt,Martin,29,New York Islanders,L,7,6,0,2,74,242
31.53,Marcus,Foligno,27,Minnesota Wild,L,10,12,1,0,89,196
31.52,Alex,Iafallo,25,Los Angeles Kings,L,13,22,6,0,138,66
31.43,Evan,Rodrigues,25,Buffalo Sabres,L,12,24,8,0,155,37
31.19,Marcus,Johansson,28,New Jersey Devils,L,15,22,11,0,127,30
31.16,Andrew,Ladd,33,New York Islanders,L,14,15,3,2,123,89
30.28,Zack,Smith,30,Ottawa Senators,L,13,14,1,0,127,124
30.0,Kyle,Clifford,27,Los Angeles Kings,L,9,9,0,0,113,184
29.3,Conor,Sheary,26,Buffalo Sabres,L,20,19,8,-4,155,35
29.07,Jesper,Bratt,20,New Jersey Devils,L,13,25,9,-2,125,49
27.89,Mikkel,Boedker,29,Ottawa Senators,L,15,25,9,-5,138,51
27.87,Drake,Caggiula,24,Edmonton Oilers,L,12,12,3,-5,133,160
27.76,Loui,Eriksson,33,Vancouver Canucks,L,15,20,6,0,144,19
