Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
100.0,Brent,Burns,33,San Jose Sharks,D,15,55,29,-4,289,70
100.0,Alex,Ovechkin,33,Washington Capitals,L,44,38,29,4,325,168
96.1,Nathan,MacKinnon,23,Colorado Avalanche,C,41,60,34,10,324,39
92.26,Connor,McDavid,21,Edmonton Oilers,C,38,68,34,6,286,21
90.38,Nikita,Kucherov,25,Tampa Bay Lightning,R,35,65,38,5,260,29
84.9,John,Carlson,28,Washington Capitals,D,12,54,29,14,214,51
84.73,David,Pastrnak,22,Boston Bruins,R,40,42,32,1,277,48
84.15,Taylor,Hall,27,New Jersey Devils,L,30,53,30,-8,292,61
82.93,Roman,Josi,28,Nashville Predators,D,15,41,19,4,271,70
82.78,Tyler,Seguin,26,Dallas Stars,C,30,48,25,9,326,67
82.13,Sidney,Crosby,31,Pittsburgh Penguins,C,35,51,29,13,239,68
81.86,Blake,Wheeler,32,Winnipeg Jets,R,19,66,34,4,236,79
81.77,Kris,Letang,31,Pittsburgh Penguins,D,11,46,21,4,233,111
81.34,Patrik,Laine,20,Winnipeg Jets,R,45,29,26,-5,277,67
81.25,Evgeni,Malkin,32,Pittsburgh Penguins,C,33,57,32,-8,229,40
81.22,Erik,Karlsson,28,San Jose Sharks,D,10,49,26,-12,238,65
80.43,Jack,Eichel,22,Buffalo Sabres,C,24,56,25,-1,308,65
80.09,Morgan,Rielly,24,Toronto Maple Leafs,D,15,44,24,9,208,56
79.32,Matt,Dumba,24,Minnesota Wild,D,18,29,17,-5,205,131
78.59,Rasmus,Ristolainen,24,Buffalo Sabres,D,8,36,18,-13,204,216
78.03,Jamie,Benn,29,Dallas Stars,L,31,42,23,7,229,127
77.95,Vladimir,Tarasenko,27,St. Louis Blues,R,32,37,23,-5,304,77
77.86,Victor,Hedman,28,Tampa Bay Lightning,D,14,40,22,0,196,93
77.01,Mikko,Rantanen,22,Colorado Avalanche,R,28,64,30,13,190,46
76.63,Dustin,Byfuglien,33,Winnipeg Jets,D,8,38,23,4,210,148
76.49,John,Tavares,28,Toronto Maple Leafs,C,37,43,23,1,270,39
76.17,Shayne,Gostisbehere,25,Philadelphia Flyers,D,12,39,25,-15,227,57
76.13,Claude,Giroux,30,Philadelphia Flyers,C,26,59,30,1,227,37
75.82,Mark,Scheifele,25,Winnipeg Jets,C,35,46,26,14,210,65
74.68,Brad,Marchand,30,Boston Bruins,L,30,49,29,3,227,41
74.34,Drew,Doughty,29,Los Angeles Kings,D,10,40,22,-5,186,123
74.17,Patrick,Kane,30,Chicago Blackhawks,R,31,49,24,-9,281,15
74.04,Johnny,Gaudreau,25,Calgary Flames,L,27,57,30,0,235,11
74.03,Steven,Stamkos,28,Tampa Bay Lightning,C,26,47,27,-3,231,74
73.69,Phil,Kessel,31,Pittsburgh Penguins,R,28,51,31,-5,243,11
73.29,Gabriel,Landeskog,26,Colorado Avalanche,L,31,37,21,16,207,128
73.08,Dougie,Hamilton,25,Carolina Hurricanes,D,14,29,13,-2,266,97
72.81,Filip,Forsberg,24,Nashville Predators,L,34,34,21,13,244,86
72.78,Patrice,Bergeron,33,Boston Bruins,C,29,42,27,5,248,48
72.06,Oliver,Ekman-Larsson,27,Arizona Coyotes,D,10,34,17,-8,199,153
71.63,Kyle,Palmieri,27,New Jersey Devils,R,30,29,23,-2,230,116
71.44,Jonathan,Marchessault,28,Vegas Golden Knights,C,26,36,20,3,269,98
70.8,Vincent,Trocheck,25,Florida Panthers,C,21,39,23,-6,231,124
70.74,Mitchell,Marner,21,Toronto Maple Leafs,C,20,64,26,10,219,31
70.52,Matthew,Tkachuk,21,Calgary Flames,L,29,42,22,5,210,86
70.48,Leon,Draisaitl,23,Edmonton Oilers,C,31,48,24,1,208,42
70.4,Sean,Monahan,24,Calgary Flames,C,35,40,23,0,234,31
70.37,Evgeny,Kuznetsov,26,Washington Capitals,C,23,52,30,-2,193,51
70.05,Aleksander,Barkov,23,Florida Panthers,C,30,47,22,-3,247,27
70.0,Evander,Kane,27,San Jose Sharks,L,25,26,11,-12,305,149
69.69,Tyson,Barrie,27,Colorado Avalanche,D,11,44,22,5,197,40
69.45,Nicklas,Backstrom,31,Washington Capitals,C,23,57,31,13,171,36
69.42,Patric,Hornqvist,31,Pittsburgh Penguins,R,27,24,16,1,247,157
69.25,Seth,Jones,24,Columbus Blue Jackets,D,13,36,15,8,214,80
69.21,Brayden,Point,22,Tampa Bay Lightning,C,37,40,21,8,217,33
68.61,Zach,Werenski,21,Columbus Blue Jackets,D,14,34,17,1,211,59
68.42,Mark,Stone,26,Ottawa Senators,R,28,46,23,11,194,64
68.36,Joe,Pavelski,34,San Jose Sharks,C,32,31,22,0,217,81
68.17,Mika,Zibanejad,25,New York Rangers,C,24,37,19,-6,237,106
68.0,Keith,Yandle,32,Florida Panthers,D,8,45,27,-9,186,34
67.86,Rickard,Rakell,25,Anaheim Ducks,C,25,38,17,-5,237,105
67.63,Sebastian,Aho,21,Carolina Hurricanes,R,26,46,19,3,225,66
67.55,John,Klingberg,26,Dallas Stars,D,13,41,21,1,176,36
67.05,Jonathan,Huberdeau,25,Florida Panthers,L,23,52,25,-8,202,40
66.93,Mark,Giordano,35,Calgary Flames,D,11,39,16,18,201,77
66.81,Brayden,Schenn,27,St. Louis Blues,C,22,36,20,-3,192,139
66.76,Ryan,O'Reilly,27,St. Louis Blues,C,27,43,24,2,219,38
66.74,Mike,Hoffman,29,Florida Panthers,L,27,35,24,-6,259,34
66.51,Torey,Krug,27,Boston Bruins,D,8,42,23,-2,188,61
66.49,Cam,Atkinson,29,Columbus Blue Jackets,R,35,30,17,4,269,35
66.48,Artemi,Panarin,27,Columbus Blue Jackets,L,26,54,22,12,219,13
66.43,Auston,Matthews,21,Toronto Maple Leafs,C,37,33,22,-1,228,16
66.03,Anders,Lee,28,New York Islanders,L,29,29,18,2,215,108
65.88,Jeff,Skinner,26,Buffalo Sabres,C,38,27,17,11,258,31
65.86,Jeff,Petry,31,Montreal Canadiens,D,9,32,14,-10,168,171
64.85,Brendan,Gallagher,26,Montreal Canadiens,R,29,26,13,3,268,93
64.74,P.K.,Subban,29,Nashville Predators,D,10,38,18,8,183,78
64.67,Aaron,Ekblad,22,Florida Panthers,D,16,24,11,-2,209,88
64.57,Chris,Kreider,27,New York Rangers,L,28,25,16,4,200,138
64.13,Thomas,Chabot,21,Ottawa Senators,D,13,40,13,0,171,72
63.64,Elias,Lindholm,24,Calgary Flames,C,24,38,21,5,188,86
63.6,Mathew,Barzal,21,New York Islanders,C,18,61,25,-9,186,16
63.28,Ryan,Getzlaf,33,Anaheim Ducks,C,17,46,18,2,163,133
63.11,Pierre-Luc,Dubois,20,Columbus Blue Jackets,C,27,35,14,8,189,114
62.9,Justin,Faulk,26,Carolina Hurricanes,D,9,25,12,0,233,128
62.89,Dylan,Larkin,22,Detroit Red Wings,C,24,36,14,-4,245,80
62.84,Anze,Kopitar,31,Los Angeles Kings,C,25,44,21,2,186,52
62.76,Jakub,Voracek,29,Philadelphia Flyers,R,20,48,23,-11,221,26
62.49,Max,Pacioretty,30,Vegas Golden Knights,L,26,23,14,-1,232,122
62.32,Evgenii,Dadonov,29,Florida Panthers,R,29,41,18,-4,216,27
62.26,Alex,Pietrangelo,28,St. Louis Blues,D,13,33,13,-5,200,59
61.31,Mikael,Granlund,26,Minnesota Wild,R,25,43,20,10,195,39
61.3,Ryan,Nugent-Hopkins,25,Edmonton Oilers,C,22,39,20,-1,216,54
61.26,Sean,Couturier,26,Philadelphia Flyers,C,28,38,13,5,213,65
60.65,Jeff,Carter,33,Los Angeles Kings,C,23,25,20,-11,236,76
60.58,Nazem,Kadri,28,Toronto Maple Leafs,C,25,28,17,-12,213,89
60.37,Logan,Couture,29,San Jose Sharks,C,25,39,19,-7,206,41
60.23,Micheal,Ferland,26,Carolina Hurricanes,L,23,19,11,3,174,197
59.94,Matt,Duchene,27,Ottawa Senators,C,28,43,14,-3,191,46
59.65,Jake,Guentzel,24,Pittsburgh Penguins,C,26,32,10,8,184,124
59.07,Bo,Horvat,23,Vancouver Canucks,C,26,33,18,-8,201,54
58.84,Wayne,Simmonds,30,Philadelphia Flyers,R,24,21,14,-10,193,137
58.54,Alexander,Radulov,32,Dallas Stars,R,23,39,17,8,181,67
58.49,Jonathan,Drouin,23,Montreal Canadiens,C,21,36,19,-3,200,62
58.39,Eric,Staal,34,Minnesota Wild,C,29,32,14,3,226,36
