Value,First Name,Last Name,Age,Team,Position,G,A,PPP,+/-,SOG,HITS
86.4,Nikita,Kucherov,25,Tampa Bay Lightning,R,36,56,33,2,273,24
85.42,David,Pastrnak,22,Boston Bruins,R,37,43,25,7,264,51
78.1,Sebastian,Aho,21,Carolina Hurricanes,R,29,45,19,9,228,64
76.25,Patrick,Kane,30,Chicago Blackhawks,R,33,51,27,0,285,13
72.99,Phil,Kessel,31,Pittsburgh Penguins,R,29,48,30,2,245,10
72.16,Vladimir,Tarasenko,27,St. Louis Blues,R,34,38,22,-3,300,71
71.47,Brendan,Gallagher,26,Montreal Canadiens,R,30,30,14,6,260,90
71.16,Blake,Wheeler,32,Winnipeg Jets,R,23,52,31,-3,236,79
70.07,Patrik,Laine,20,Winnipeg Jets,R,36,34,25,-3,264,67
69.91,Mikko,Rantanen,22,Colorado Avalanche,R,25,52,24,5,193,33
68.86,Patric,Hornqvist,31,Pittsburgh Penguins,R,25,26,17,2,254,149
68.56,Kyle,Palmieri,27,New Jersey Devils,R,32,26,24,-1,231,118
65.96,Evgenii,Dadonov,29,Florida Panthers,R,27,41,15,8,209,26
65.61,Mark,Stone,26,Ottawa Senators,R,26,42,20,4,190,62
64.18,Jakub,Voracek,29,Philadelphia Flyers,R,20,55,29,-2,225,27
62.58,T.J.,Oshie,32,Washington Capitals,R,21,26,13,10,150,127
61.39,Mikael,Granlund,26,Minnesota Wild,R,22,41,19,4,200,47
61.07,Josh,Anderson,24,Columbus Blue Jackets,R,25,17,6,8,210,136
60.41,Alexander,Radulov,32,Dallas Stars,R,24,43,21,-1,193,74
58.4,Reilly,Smith,27,Vegas Golden Knights,R,22,33,16,6,189,51
55.98,Alex,DeBrincat,21,Chicago Blackhawks,R,29,31,12,3,204,39
54.64,Timo,Meier,22,San Jose Sharks,R,22,20,6,6,215,101
53.92,Craig,Smith,29,Nashville Predators,R,24,23,11,4,214,66
53.82,Brock,Boeser,21,Vancouver Canucks,R,31,34,20,-7,247,34
52.08,David,Backes,34,Boston Bruins,R,17,20,8,2,178,178
51.0,Dustin,Brown,34,Los Angeles Kings,R,18,24,10,0,179,158
50.52,Wayne,Simmonds,30,Philadelphia Flyers,R,26,24,17,-7,195,135
49.9,Tyler,Toffoli,26,Los Angeles Kings,R,25,28,12,-3,231,68
49.15,Cam,Atkinson,29,Columbus Blue Jackets,R,30,26,16,-7,261,37
48.76,Jakob,Silfverberg,28,Anaheim Ducks,R,21,26,10,4,185,54
47.57,Justin,Williams,37,Carolina Hurricanes,R,16,29,9,5,171,68
46.77,Kevin,Labanc,23,San Jose Sharks,R,15,31,12,5,164,47
45.29,Joonas,Donskoi,26,San Jose Sharks,R,19,24,10,6,151,45
43.68,Ryan,Hartman,24,Nashville Predators,R,15,21,5,5,149,110
43.42,Nino,Niederreiter,26,Minnesota Wild,R,20,23,9,0,172,87
42.49,Mats,Zuccarello,31,New York Rangers,R,16,36,16,-4,168,65
41.19,Michael,Frolik,30,Calgary Flames,R,18,19,4,5,170,62
40.77,Tom,Wilson,24,Washington Capitals,R,11,18,4,0,118,214
40.55,Bryan,Rust,26,Pittsburgh Penguins,R,14,25,7,1,145,112
40.45,Richard,Panik,27,Arizona Coyotes,R,14,21,8,-1,156,136
40.28,Oliver,Bjorkstrand,23,Columbus Blue Jackets,R,15,28,9,1,164,63
40.27,Alex,Tuch,22,Vegas Golden Knights,R,15,24,9,0,165,90
38.72,Josh,Bailey,29,New York Islanders,R,17,40,23,-8,161,21
37.21,Ondrej,Kase,23,Anaheim Ducks,R,18,22,7,2,160,40
36.81,Kasperi,Kapanen,22,Toronto Maple Leafs,R,16,13,1,4,137,114
36.79,Anthony,Mantha,24,Detroit Red Wings,R,21,27,12,-10,197,86
36.77,Gustav,Nyquist,29,Detroit Red Wings,R,19,29,12,-7,188,61
36.11,Bobby,Ryan,31,Ottawa Senators,R,13,23,8,-2,144,115
36.05,Dmitrij,Jaskin,25,Washington Capitals,R,9,13,2,2,114,190
35.82,Pavel,Buchnevich,23,New York Rangers,R,17,28,12,-3,149,52
35.28,Jason,Pominville,36,Buffalo Sabres,R,15,21,5,4,147,42
35.12,Stefan,Noesen,25,New Jersey Devils,R,14,14,2,2,142,121
34.77,Andrew,Shaw,27,Montreal Canadiens,R,15,18,9,-4,146,126
34.73,Jake,Virtanen,22,Vancouver Canucks,R,13,14,2,-1,141,162
34.03,Garnet,Hathaway,27,Calgary Flames,R,8,11,1,4,82,193
33.74,Corey,Perry,33,Anaheim Ducks,R,17,24,12,-5,163,60
33.61,Jesse,Puljujarvi,20,Edmonton Oilers,R,16,17,5,-1,167,80
33.44,Joel,Armia,25,Montreal Canadiens,R,13,19,4,0,144,103
33.4,Kyle,Okposo,30,Buffalo Sabres,R,17,32,19,-13,175,74
32.73,Sven,Andrighetto,25,Colorado Avalanche,R,15,20,8,-1,149,64
