Team,2018-10-03,2018-10-04,2018-10-05,2018-10-06,2018-10-07,2018-10-08,2018-10-09,2018-10-10,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18,2018-10-19,2018-10-20,2018-10-21,2018-10-22,2018-10-23,2018-10-24,2018-10-25,2018-10-26,2018-10-27,2018-10-28,2018-10-29,2018-10-30,2018-10-31,2018-11-01,2018-11-02,2018-11-03,2018-11-04,2018-11-05,2018-11-06,2018-11-07,2018-11-08,2018-11-09,2018-11-10,2018-11-11,2018-11-12,2018-11-13,2018-11-14,2018-11-15,2018-11-16,2018-11-17,2018-11-18,2018-11-19,2018-11-20,2018-11-21,2018-11-22,2018-11-23,2018-11-24,2018-11-25,2018-11-26,2018-11-27,2018-11-28,2018-11-29,2018-11-30,2018-12-01,2018-12-02,2018-12-03,2018-12-04,2018-12-05,2018-12-06,2018-12-07,2018-12-08,2018-12-09,2018-12-10,2018-12-11,2018-12-12,2018-12-13,2018-12-14,2018-12-15,2018-12-16,2018-12-17,2018-12-18,2018-12-19,2018-12-20,2018-12-21,2018-12-22,2018-12-23,2018-12-24,2018-12-25,2018-12-26,2018-12-27,2018-12-28,2018-12-29,2018-12-30,2018-12-31,2019-01-01,2019-01-02,2019-01-03,2019-01-04,2019-01-05,2019-01-06,2019-01-07,2019-01-08,2019-01-09,2019-01-10,2019-01-11,2019-01-12,2019-01-13,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-19,2019-01-20,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-26,2019-01-27,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-02,2019-02-03,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-09,2019-02-10,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-16,2019-02-17,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-02,2019-03-03,2019-03-04,2019-03-05,2019-03-06,2019-03-07,2019-03-08,2019-03-09,2019-03-10,2019-03-11,2019-03-12,2019-03-13,2019-03-14,2019-03-15,2019-03-16,2019-03-17,2019-03-18,2019-03-19,2019-03-20,2019-03-21,2019-03-22,2019-03-23,2019-03-24,2019-03-25,2019-03-26,2019-03-27,2019-03-28,2019-03-29,2019-03-30,2019-03-31,2019-04-01,2019-04-02,2019-04-03,2019-04-04,2019-04-05,2019-04-06
Anaheim Ducks,at San Jose Sharks,0,0,at Arizona Coyotes,0,vs Detroit Red Wings,0,vs Arizona Coyotes,0,0,at Dallas Stars,at St. Louis Blues,0,0,vs New York Islanders,0,0,at Vegas Golden Knights,vs Buffalo Sabres,0,at Chicago Blackhawks,0,at Dallas Stars,0,0,vs San Jose Sharks,0,vs Philadelphia Flyers,0,vs New York Rangers,0,0,vs Columbus Blue Jackets,0,at Los Angeles Kings,vs Calgary Flames,0,vs Minnesota Wild,0,0,vs Nashville Predators,0,at Vegas Golden Knights,0,vs Toronto Maple Leafs,0,vs Colorado Avalanche,0,0,vs Vancouver Canucks,0,vs Edmonton Oilers,0,at Nashville Predators,0,at Tampa Bay Lightning,at Florida Panthers,0,at Carolina Hurricanes,0,at Washington Capitals,0,0,vs Chicago Blackhawks,0,vs Carolina Hurricanes,0,vs New Jersey Devils,0,0,vs Dallas Stars,0,0,at Columbus Blue Jackets,0,at Pittsburgh Penguins,at New York Rangers,0,at Boston Bruins,0,at Buffalo Sabres,0,0,0,0,at San Jose Sharks,0,vs Arizona Coyotes,0,vs Tampa Bay Lightning,0,0,0,vs Vegas Golden Knights,0,vs Edmonton Oilers,0,0,vs Ottawa Senators,0,vs Pittsburgh Penguins,0,at Winnipeg Jets,0,at Detroit Red Wings,0,at Minnesota Wild,0,at New Jersey Devils,at New York Islanders,0,0,vs St. Louis Blues,0,0,0,0,0,0,0,0,0,at Winnipeg Jets,0,at Toronto Maple Leafs,at Montreal Canadiens,0,at Ottawa Senators,0,at Philadelphia Flyers,0,0,0,vs Vancouver Canucks,0,vs Boston Bruins,0,vs Washington Capitals,0,at Minnesota Wild,0,0,at Calgary Flames,at Edmonton Oilers,0,at Vancouver Canucks,0,vs Chicago Blackhawks,0,vs Vegas Golden Knights,0,vs Colorado Avalanche,0,at Arizona Coyotes,vs St. Louis Blues,0,vs Montreal Canadiens,0,vs Los Angeles Kings,0,vs Nashville Predators,0,at Arizona Coyotes,at Colorado Avalanche,0,vs Florida Panthers,0,0,vs Winnipeg Jets,0,vs San Jose Sharks,at Los Angeles Kings,0,0,at Vancouver Canucks,0,0,at Calgary Flames,at Edmonton Oilers,0,0,0,vs Calgary Flames,0,vs Los Angeles Kings,0
Arizona Coyotes,0,at Dallas Stars,0,vs Anaheim Ducks,0,0,0,at Anaheim Ducks,0,0,vs Buffalo Sabres,0,0,at Minnesota Wild,0,at Chicago Blackhawks,0,at Winnipeg Jets,0,0,at Columbus Blue Jackets,0,vs Vancouver Canucks,0,vs Tampa Bay Lightning,0,0,vs Ottawa Senators,0,0,vs Carolina Hurricanes,0,0,vs Philadelphia Flyers,0,0,at Philadelphia Flyers,0,at Pittsburgh Penguins,at Washington Capitals,0,at Detroit Red Wings,0,vs Nashville Predators,0,vs Boston Bruins,0,0,0,vs Vegas Golden Knights,0,vs Colorado Avalanche,0,vs Calgary Flames,0,at Minnesota Wild,0,at Nashville Predators,0,vs St. Louis Blues,0,0,at Los Angeles Kings,0,vs Washington Capitals,0,vs San Jose Sharks,0,0,at Boston Bruins,0,at Buffalo Sabres,at New York Rangers,0,at Carolina Hurricanes,0,vs New York Islanders,0,vs Montreal Canadiens,0,vs Colorado Avalanche,at San Jose Sharks,0,0,0,at Los Angeles Kings,0,at Anaheim Ducks,vs Vegas Golden Knights,0,0,vs Edmonton Oilers,0,vs New Jersey Devils,0,vs New York Rangers,0,0,0,at Vancouver Canucks,0,at Edmonton Oilers,at Calgary Flames,0,0,vs San Jose Sharks,0,vs Pittsburgh Penguins,0,at Toronto Maple Leafs,0,at Ottawa Senators,at Montreal Canadiens,0,0,0,0,0,0,0,0,0,at San Jose Sharks,0,at Dallas Stars,at Nashville Predators,0,vs Columbus Blue Jackets,0,vs Dallas Stars,0,0,at Vegas Golden Knights,0,vs St. Louis Blues,0,vs Toronto Maple Leafs,0,at Calgary Flames,at Edmonton Oilers,0,at Vancouver Canucks,0,0,vs Winnipeg Jets,0,vs Florida Panthers,0,vs Vancouver Canucks,0,vs Detroit Red Wings,0,0,vs Anaheim Ducks,0,vs Calgary Flames,0,vs Los Angeles Kings,0,at Chicago Blackhawks,at St. Louis Blues,0,vs Anaheim Ducks,0,vs Edmonton Oilers,0,at Tampa Bay Lightning,0,0,at Florida Panthers,0,at New Jersey Devils,at New York Islanders,0,vs Chicago Blackhawks,0,0,at Colorado Avalanche,0,vs Minnesota Wild,0,vs Los Angeles Kings,0,at Vegas Golden Knights,0,vs Winnipeg Jets
Boston Bruins,at Washington Capitals,at Buffalo Sabres,0,0,0,vs Ottawa Senators,0,0,vs Edmonton Oilers,0,vs Detroit Red Wings,0,0,0,at Calgary Flames,at Edmonton Oilers,0,at Vancouver Canucks,0,0,at Ottawa Senators,0,vs Philadelphia Flyers,0,vs Montreal Canadiens,0,0,at Carolina Hurricanes,0,0,0,at Nashville Predators,0,vs Dallas Stars,0,0,vs Vancouver Canucks,0,vs Toronto Maple Leafs,vs Vegas Golden Knights,0,0,at Colorado Avalanche,0,at Dallas Stars,at Arizona Coyotes,0,0,0,at Detroit Red Wings,0,vs Pittsburgh Penguins,at Montreal Canadiens,0,at Toronto Maple Leafs,0,0,vs New York Islanders,0,vs Detroit Red Wings,0,0,at Florida Panthers,0,at Tampa Bay Lightning,0,vs Toronto Maple Leafs,at Ottawa Senators,0,vs Arizona Coyotes,0,0,at Pittsburgh Penguins,0,vs Buffalo Sabres,at Montreal Canadiens,0,0,vs Anaheim Ducks,0,vs Nashville Predators,at Carolina Hurricanes,0,0,0,vs New Jersey Devils,0,at Buffalo Sabres,0,0,at Chicago Blackhawks,0,vs Calgary Flames,0,vs Buffalo Sabres,0,0,vs Minnesota Wild,0,vs Washington Capitals,0,at Toronto Maple Leafs,0,vs Montreal Canadiens,0,at Philadelphia Flyers,vs St. Louis Blues,0,vs New York Rangers,0,0,0,0,0,0,0,0,0,vs Winnipeg Jets,0,vs Philadelphia Flyers,0,0,at Washington Capitals,0,vs New York Islanders,at New York Rangers,0,0,vs Los Angeles Kings,vs Colorado Avalanche,0,vs Chicago Blackhawks,0,0,at Anaheim Ducks,at Los Angeles Kings,0,at San Jose Sharks,0,at Vegas Golden Knights,0,0,at St. Louis Blues,0,0,vs San Jose Sharks,0,vs Tampa Bay Lightning,0,vs New Jersey Devils,0,0,vs Carolina Hurricanes,0,vs Florida Panthers,0,vs Ottawa Senators,at Pittsburgh Penguins,0,at Columbus Blue Jackets,0,at Winnipeg Jets,0,vs Columbus Blue Jackets,0,0,at New York Islanders,0,at New Jersey Devils,0,at Florida Panthers,0,at Tampa Bay Lightning,0,vs New York Rangers,0,0,vs Florida Panthers,at Detroit Red Wings,0,at Columbus Blue Jackets,0,at Minnesota Wild,0,vs Tampa Bay Lightning
Buffalo Sabres,0,vs Boston Bruins,0,vs New York Rangers,0,vs Vegas Golden Knights,0,0,vs Colorado Avalanche,0,at Arizona Coyotes,0,0,at Vegas Golden Knights,0,at San Jose Sharks,0,at Los Angeles Kings,at Anaheim Ducks,0,0,0,vs Montreal Canadiens,0,at Columbus Blue Jackets,0,0,vs Calgary Flames,0,at Ottawa Senators,0,vs Ottawa Senators,at New York Rangers,0,0,0,at Montreal Canadiens,0,vs Vancouver Canucks,0,0,vs Tampa Bay Lightning,0,0,at Winnipeg Jets,at Minnesota Wild,0,at Pittsburgh Penguins,0,vs Philadelphia Flyers,0,vs Montreal Canadiens,at Detroit Red Wings,0,0,vs San Jose Sharks,0,at Tampa Bay Lightning,at Florida Panthers,0,0,at Nashville Predators,vs Toronto Maple Leafs,0,0,0,vs Philadelphia Flyers,0,0,vs Los Angeles Kings,0,vs Arizona Coyotes,0,at Washington Capitals,at Boston Bruins,0,vs Florida Panthers,0,0,at Washington Capitals,vs Anaheim Ducks,0,0,0,0,at St. Louis Blues,0,vs Boston Bruins,0,vs New York Islanders,0,0,vs Florida Panthers,0,at Boston Bruins,0,0,vs New Jersey Devils,0,0,at Carolina Hurricanes,vs Tampa Bay Lightning,0,at Edmonton Oilers,0,at Calgary Flames,0,at Vancouver Canucks,0,0,0,0,0,0,0,0,0,0,at Columbus Blue Jackets,at Dallas Stars,0,vs Chicago Blackhawks,0,0,0,vs Minnesota Wild,0,vs Carolina Hurricanes,0,vs Detroit Red Wings,vs Winnipeg Jets,0,vs New York Islanders,0,0,vs New York Rangers,0,at New Jersey Devils,0,at Florida Panthers,0,at Tampa Bay Lightning,0,vs Washington Capitals,0,at Toronto Maple Leafs,at Philadelphia Flyers,0,0,vs Pittsburgh Penguins,at Toronto Maple Leafs,0,vs Edmonton Oilers,0,0,at Chicago Blackhawks,0,at Colorado Avalanche,0,0,vs Dallas Stars,0,vs Pittsburgh Penguins,0,at Carolina Hurricanes,vs St. Louis Blues,0,0,vs Toronto Maple Leafs,0,0,at Montreal Canadiens,0,at New Jersey Devils,at Ottawa Senators,0,vs Detroit Red Wings,0,at New York Islanders,vs Columbus Blue Jackets,0,vs Nashville Predators,0,vs Ottawa Senators,0,at Detroit Red Wings
Calgary Flames,at Vancouver Canucks,0,0,vs Vancouver Canucks,0,0,at Nashville Predators,0,at St. Louis Blues,0,at Colorado Avalanche,0,0,0,vs Boston Bruins,0,vs Nashville Predators,0,at New York Rangers,0,at Montreal Canadiens,0,vs Pittsburgh Penguins,0,vs Washington Capitals,0,at Toronto Maple Leafs,at Buffalo Sabres,0,vs Colorado Avalanche,0,vs Chicago Blackhawks,0,0,0,at Anaheim Ducks,0,0,at Los Angeles Kings,at San Jose Sharks,0,0,0,vs Montreal Canadiens,0,vs Edmonton Oilers,0,vs Vegas Golden Knights,0,vs Winnipeg Jets,0,at Vegas Golden Knights,0,at Arizona Coyotes,0,0,vs Dallas Stars,0,vs Los Angeles Kings,0,at Chicago Blackhawks,0,at Columbus Blue Jackets,0,vs Minnesota Wild,0,vs Nashville Predators,at Edmonton Oilers,0,0,vs Philadelphia Flyers,0,0,at Minnesota Wild,at St. Louis Blues,0,at Dallas Stars,0,vs Tampa Bay Lightning,0,vs St. Louis Blues,0,0,0,0,at Winnipeg Jets,0,vs Vancouver Canucks,0,vs San Jose Sharks,0,at Detroit Red Wings,at Boston Bruins,0,at Philadelphia Flyers,0,at Chicago Blackhawks,0,vs Colorado Avalanche,0,vs Florida Panthers,0,vs Arizona Coyotes,0,0,vs Buffalo Sabres,0,vs Detroit Red Wings,at Edmonton Oilers,0,0,vs Carolina Hurricanes,0,0,0,0,0,0,0,0,0,at Washington Capitals,0,at Carolina Hurricanes,0,0,0,vs San Jose Sharks,0,at Vancouver Canucks,0,0,at Tampa Bay Lightning,0,at Florida Panthers,0,at Pittsburgh Penguins,0,vs Arizona Coyotes,0,vs New York Islanders,0,vs Anaheim Ducks,0,at Ottawa Senators,0,at New York Islanders,at New Jersey Devils,0,0,vs Minnesota Wild,0,vs Toronto Maple Leafs,0,at Vegas Golden Knights,at Arizona Coyotes,0,0,vs Vegas Golden Knights,0,vs New Jersey Devils,0,0,vs New York Rangers,at Winnipeg Jets,0,0,vs Columbus Blue Jackets,0,vs Ottawa Senators,0,at Vancouver Canucks,0,vs Los Angeles Kings,0,vs Dallas Stars,0,vs Anaheim Ducks,0,at San Jose Sharks,at Los Angeles Kings,0,at Anaheim Ducks,0,0,vs Edmonton Oilers
Carolina Hurricanes,0,vs New York Islanders,at Columbus Blue Jackets,0,vs New York Rangers,0,vs Vancouver Canucks,0,0,0,at Minnesota Wild,at Winnipeg Jets,0,at Tampa Bay Lightning,0,0,0,vs Colorado Avalanche,0,at Detroit Red Wings,0,0,0,vs San Jose Sharks,0,vs New York Islanders,0,vs Boston Bruins,0,0,at Arizona Coyotes,at Vegas Golden Knights,0,0,at St. Louis Blues,0,at Chicago Blackhawks,0,vs Detroit Red Wings,0,vs Chicago Blackhawks,0,0,0,0,vs Columbus Blue Jackets,vs New Jersey Devils,0,0,vs Toronto Maple Leafs,0,vs Florida Panthers,at New York Islanders,0,0,at Montreal Canadiens,0,0,vs Anaheim Ducks,0,at Los Angeles Kings,0,0,at San Jose Sharks,0,at Anaheim Ducks,0,0,0,vs Toronto Maple Leafs,0,at Montreal Canadiens,vs Washington Capitals,0,vs Arizona Coyotes,0,0,0,vs Detroit Red Wings,0,vs Pittsburgh Penguins,vs Boston Bruins,0,0,0,at Washington Capitals,0,at New Jersey Devils,0,vs Philadelphia Flyers,0,0,at Philadelphia Flyers,vs Columbus Blue Jackets,0,at Ottawa Senators,0,at New York Islanders,0,at Tampa Bay Lightning,vs Buffalo Sabres,0,vs Nashville Predators,0,at New York Rangers,0,0,vs Ottawa Senators,0,at Edmonton Oilers,0,at Calgary Flames,at Vancouver Canucks,0,0,0,0,0,0,0,0,vs Vegas Golden Knights,0,vs Calgary Flames,0,at Pittsburgh Penguins,0,at Buffalo Sabres,at New York Rangers,0,at New Jersey Devils,0,at Ottawa Senators,0,0,vs Edmonton Oilers,vs Dallas Stars,0,0,vs New York Rangers,0,at Florida Panthers,0,at Dallas Stars,0,0,vs Los Angeles Kings,0,0,vs St. Louis Blues,at Florida Panthers,0,0,at Boston Bruins,0,0,vs Winnipeg Jets,at Nashville Predators,0,at Colorado Avalanche,0,0,0,at Columbus Blue Jackets,vs Buffalo Sabres,0,0,vs Pittsburgh Penguins,0,vs Tampa Bay Lightning,0,vs Minnesota Wild,vs Montreal Canadiens,0,at Washington Capitals,0,vs Washington Capitals,0,vs Philadelphia Flyers,at Pittsburgh Penguins,0,at Toronto Maple Leafs,0,vs New Jersey Devils,0,at Philadelphia Flyers
Chicago Blackhawks,0,at Ottawa Senators,0,at St. Louis Blues,vs Toronto Maple Leafs,0,0,0,at Minnesota Wild,0,vs St. Louis Blues,0,0,0,0,vs Arizona Coyotes,0,at Columbus Blue Jackets,vs Tampa Bay Lightning,0,vs Anaheim Ducks,0,vs New York Rangers,0,at St. Louis Blues,vs Edmonton Oilers,0,0,at Vancouver Canucks,at Edmonton Oilers,0,at Calgary Flames,0,0,0,0,vs Carolina Hurricanes,0,at Philadelphia Flyers,0,at Carolina Hurricanes,0,vs St. Louis Blues,0,vs Los Angeles Kings,0,vs Minnesota Wild,0,0,at Washington Capitals,0,at Tampa Bay Lightning,at Florida Panthers,0,0,vs Vegas Golden Knights,0,at Winnipeg Jets,0,at Nashville Predators,vs Calgary Flames,0,0,at Anaheim Ducks,at Vegas Golden Knights,0,0,vs Montreal Canadiens,0,at Winnipeg Jets,vs Pittsburgh Penguins,0,vs Winnipeg Jets,0,vs San Jose Sharks,0,vs Nashville Predators,0,at Dallas Stars,at Colorado Avalanche,0,vs Florida Panthers,0,0,0,vs Minnesota Wild,0,at Colorado Avalanche,0,0,vs Boston Bruins,0,at New York Islanders,0,0,at Pittsburgh Penguins,vs Calgary Flames,0,vs Nashville Predators,0,0,vs Vegas Golden Knights,0,at New Jersey Devils,0,0,at New York Rangers,0,0,vs Washington Capitals,0,vs New York Islanders,0,0,0,0,0,0,0,0,0,at Buffalo Sabres,at Minnesota Wild,0,0,at Edmonton Oilers,0,vs Vancouver Canucks,0,0,vs Detroit Red Wings,0,at Boston Bruins,0,vs New Jersey Devils,0,vs Columbus Blue Jackets,0,vs Ottawa Senators,0,at Detroit Red Wings,0,vs Colorado Avalanche,0,vs Dallas Stars,0,0,at Anaheim Ducks,0,0,at Los Angeles Kings,at San Jose Sharks,0,0,0,vs Buffalo Sabres,0,at Dallas Stars,0,vs Arizona Coyotes,0,at Toronto Maple Leafs,0,0,at Montreal Canadiens,0,vs Vancouver Canucks,0,0,vs Philadelphia Flyers,0,at Colorado Avalanche,vs Colorado Avalanche,0,at Arizona Coyotes,0,at San Jose Sharks,0,at Los Angeles Kings,0,vs Winnipeg Jets,0,vs St. Louis Blues,0,vs Dallas Stars,at Nashville Predators
Colorado Avalanche,0,vs Minnesota Wild,0,vs Philadelphia Flyers,0,0,at Columbus Blue Jackets,0,at Buffalo Sabres,0,vs Calgary Flames,0,0,at New York Rangers,0,at New Jersey Devils,0,at Carolina Hurricanes,0,at Philadelphia Flyers,0,vs Tampa Bay Lightning,0,vs Ottawa Senators,at Minnesota Wild,0,0,0,0,at Calgary Flames,at Vancouver Canucks,0,0,0,0,vs Nashville Predators,0,at Winnipeg Jets,0,at Edmonton Oilers,0,0,vs Boston Bruins,0,vs Washington Capitals,0,at Anaheim Ducks,0,0,at Los Angeles Kings,0,at Arizona Coyotes,vs Dallas Stars,0,0,at Nashville Predators,vs Pittsburgh Penguins,0,vs St. Louis Blues,0,at Detroit Red Wings,0,at Pittsburgh Penguins,0,at Florida Panthers,0,at Tampa Bay Lightning,0,0,vs Edmonton Oilers,0,0,at St. Louis Blues,vs Dallas Stars,0,vs New York Islanders,0,vs Montreal Canadiens,0,vs Chicago Blackhawks,at Arizona Coyotes,0,0,0,0,at Vegas Golden Knights,0,vs Chicago Blackhawks,0,vs Los Angeles Kings,0,vs San Jose Sharks,0,vs New York Rangers,0,0,0,at Winnipeg Jets,at Calgary Flames,0,0,at Montreal Canadiens,0,at Toronto Maple Leafs,0,at Ottawa Senators,0,0,vs Los Angeles Kings,0,vs Nashville Predators,0,vs Minnesota Wild,0,0,0,0,0,0,0,0,0,vs Vancouver Canucks,0,0,vs Columbus Blue Jackets,0,at Washington Capitals,0,at New York Islanders,at Boston Bruins,0,vs Toronto Maple Leafs,0,at Winnipeg Jets,0,vs St. Louis Blues,0,vs Vegas Golden Knights,0,vs Winnipeg Jets,0,at Chicago Blackhawks,at Nashville Predators,0,vs Florida Panthers,0,vs Vancouver Canucks,0,at San Jose Sharks,0,at Anaheim Ducks,0,vs Detroit Red Wings,0,at Dallas Stars,0,vs Buffalo Sabres,0,vs Carolina Hurricanes,0,0,0,vs Anaheim Ducks,0,vs New Jersey Devils,0,at Minnesota Wild,0,at Dallas Stars,0,vs Chicago Blackhawks,at Chicago Blackhawks,0,0,vs Vegas Golden Knights,0,vs Arizona Coyotes,0,0,at St. Louis Blues,vs Edmonton Oilers,0,vs Winnipeg Jets,0,at San Jose Sharks
Columbus Blue Jackets,0,at Detroit Red Wings,vs Carolina Hurricanes,0,0,0,vs Colorado Avalanche,0,at Florida Panthers,0,at Tampa Bay Lightning,0,0,0,0,vs Philadelphia Flyers,0,vs Chicago Blackhawks,0,0,vs Arizona Coyotes,0,at St. Louis Blues,0,vs Buffalo Sabres,0,0,vs Detroit Red Wings,0,at San Jose Sharks,0,at Los Angeles Kings,at Anaheim Ducks,0,vs Dallas Stars,0,0,at Washington Capitals,vs New York Rangers,0,at Dallas Stars,0,0,vs Florida Panthers,0,at Carolina Hurricanes,0,at Toronto Maple Leafs,0,0,0,vs Toronto Maple Leafs,at Pittsburgh Penguins,0,at Detroit Red Wings,0,0,vs Minnesota Wild,0,at New York Islanders,0,0,vs Calgary Flames,0,at Philadelphia Flyers,0,vs Washington Capitals,0,0,vs Vancouver Canucks,0,vs Los Angeles Kings,0,vs Anaheim Ducks,0,vs Vegas Golden Knights,0,0,vs New Jersey Devils,0,at Philadelphia Flyers,at New Jersey Devils,0,0,0,at New York Rangers,vs Toronto Maple Leafs,0,0,vs Ottawa Senators,0,0,0,at Carolina Hurricanes,at Florida Panthers,0,0,at Tampa Bay Lightning,0,vs Nashville Predators,0,at Washington Capitals,vs New York Rangers,0,vs New Jersey Devils,0,0,vs Montreal Canadiens,at Minnesota Wild,0,0,0,0,0,0,0,0,0,vs Buffalo Sabres,0,at Winnipeg Jets,0,vs St. Louis Blues,0,0,at Colorado Avalanche,0,at Arizona Coyotes,0,at Vegas Golden Knights,0,0,vs Washington Capitals,0,vs New York Islanders,0,at Chicago Blackhawks,0,vs Tampa Bay Lightning,at Montreal Canadiens,0,0,at Ottawa Senators,vs San Jose Sharks,0,0,vs Pittsburgh Penguins,0,vs Philadelphia Flyers,0,vs Edmonton Oilers,vs Winnipeg Jets,0,at New Jersey Devils,0,at Pittsburgh Penguins,0,vs Pittsburgh Penguins,0,at New York Islanders,vs Boston Bruins,0,0,vs Carolina Hurricanes,at Boston Bruins,0,0,at Calgary Flames,0,at Edmonton Oilers,0,0,at Vancouver Canucks,0,vs New York Islanders,0,vs Montreal Canadiens,0,at Nashville Predators,at Buffalo Sabres,0,vs Boston Bruins,0,0,at New York Rangers,at Ottawa Senators
Dallas Stars,0,vs Arizona Coyotes,0,vs Winnipeg Jets,0,0,vs Toronto Maple Leafs,0,0,0,vs Anaheim Ducks,0,at Ottawa Senators,at New Jersey Devils,0,0,vs Minnesota Wild,0,0,0,vs Los Angeles Kings,0,vs Anaheim Ducks,0,0,at Detroit Red Wings,0,at Montreal Canadiens,0,at Toronto Maple Leafs,0,at Washington Capitals,0,at Boston Bruins,at Columbus Blue Jackets,0,vs San Jose Sharks,0,vs Nashville Predators,0,vs Columbus Blue Jackets,0,0,0,vs Boston Bruins,0,at New York Islanders,at New York Rangers,0,at Pittsburgh Penguins,0,vs Ottawa Senators,at Colorado Avalanche,0,0,at Edmonton Oilers,at Calgary Flames,0,0,at Vancouver Canucks,0,vs Edmonton Oilers,0,0,0,vs San Jose Sharks,0,at Vegas Golden Knights,0,0,at Anaheim Ducks,at San Jose Sharks,0,at Colorado Avalanche,0,0,vs Calgary Flames,0,vs Chicago Blackhawks,0,at Minnesota Wild,vs New York Islanders,0,0,0,at Nashville Predators,0,vs Detroit Red Wings,0,vs Montreal Canadiens,0,vs New Jersey Devils,0,vs Washington Capitals,0,at Winnipeg Jets,0,at St. Louis Blues,0,at Philadelphia Flyers,0,vs St. Louis Blues,0,0,vs Tampa Bay Lightning,0,vs Los Angeles Kings,0,vs Winnipeg Jets,0,0,0,0,0,0,0,0,0,0,vs Buffalo Sabres,0,vs Minnesota Wild,at Nashville Predators,0,vs Arizona Coyotes,0,0,at Nashville Predators,0,at Arizona Coyotes,0,0,at Florida Panthers,0,at Tampa Bay Lightning,0,at Carolina Hurricanes,0,0,vs Nashville Predators,0,vs St. Louis Blues,0,vs Carolina Hurricanes,at Chicago Blackhawks,0,at Vegas Golden Knights,0,at Los Angeles Kings,0,at St. Louis Blues,0,0,vs New York Rangers,0,vs Colorado Avalanche,0,vs Chicago Blackhawks,0,0,at Buffalo Sabres,0,at Minnesota Wild,vs Vegas Golden Knights,0,vs Vancouver Canucks,0,vs Florida Panthers,0,vs Colorado Avalanche,0,vs Pittsburgh Penguins,0,at Winnipeg Jets,0,at Calgary Flames,at Edmonton Oilers,0,at Vancouver Canucks,0,0,vs Philadelphia Flyers,0,0,at Chicago Blackhawks,vs Minnesota Wild
