First Name,Last Name,Age,Position,PosVal,ID,G,A,PPP,+/-,SOG,HITS
Matt,Cullen,42,C,1,8464989,7,5,0,-4,76,31
Zdeno,Chara,41,D,0,8465009,4,15,1,9,129,144
Joe,Thornton,39,C,1,8466138,15,36,20,3,109,50
Patrick,Marleau,39,C,1,8466139,20,17,9,-4,173,79
Derek,MacKenzie,37,C,1,8468001,4,6,0,1,65,143
Henrik,Zetterberg,38,C,1,8468083,13,36,15,-1,157,49
Marian,Gaborik,36,R,1,8468483,15,12,5,-5,142,34
Ron,Hainsey,37,D,0,8468493,1,12,0,-2,74,97
Brooks,Orpik,38,D,0,8468498,0,5,0,-2,43,204
Justin,Williams,37,R,1,8468508,17,26,11,3,165,67
Niklas,Kronwall,37,D,0,8468509,1,19,7,-4,71,92
Matt,Hendricks,37,C,1,8468611,4,5,0,2,57,164
Deryk,Engelland,36,D,0,8468674,2,11,0,-1,94,129
Jason,Spezza,35,C,1,8469455,15,23,11,-2,135,22
Mikko,Koivu,35,C,1,8469459,15,29,13,7,140,48
Dan,Hamhuis,36,D,0,8469465,1,14,0,0,67,90
Chris,Thorburn,35,R,1,8469501,4,1,0,-1,37,152
Jason,Pominville,36,R,1,8469506,15,21,6,1,150,45
Tomas,Plekanec,36,C,1,8469521,11,20,4,1,127,66
Valtteri,Filppula,34,C,1,8470047,8,21,3,-3,79,35
Trevor,Daley,35,D,0,8470110,4,11,0,-1,106,41
Frans,Nielsen,34,C,1,8470144,15,21,8,-2,135,54
Jay,Bouwmeester,35,D,0,8470151,2,9,0,1,95,77
Johnny,Boychuk,34,D,0,8470187,5,14,2,-3,176,156
Alexander,Steen,34,L,1,8470257,16,32,15,3,157,54
Duncan,Keith,35,D,0,8470281,4,33,11,0,160,42
Jonathan,Ericsson,34,D,0,8470318,1,8,0,0,74,133
Chris,Kunitz,39,L,1,8470543,8,13,1,3,86,145
Eric,Staal,34,C,1,8470595,30,34,16,0,218,44
Thomas,Vanek,34,L,1,8470598,18,28,13,-4,158,37
Ryan,Suter,33,D,0,8470600,7,37,17,2,156,76
Braydon,Coburn,33,D,0,8470601,2,9,0,1,80,98
Dion,Phaneuf,33,D,0,8470602,3,20,7,-8,136,154
Jeff,Carter,33,C,1,8470604,30,25,18,-1,240,75
Dustin,Brown,34,R,1,8470606,21,27,12,1,199,176
Brent,Seabrook,33,D,0,8470607,6,26,10,0,133,90
Zach,Parise,34,L,1,8470610,23,19,9,-4,216,54
Ryan,Getzlaf,33,C,1,8470612,16,52,23,3,165,114
Brent,Burns,33,D,0,8470613,17,48,26,-3,306,69
Ryan,Kesler,34,C,1,8470616,15,20,7,0,137,126
Brian,Boyle,34,C,1,8470619,13,9,3,0,123,138
