Week Number,Start Date,End Date,startIndex,endIndex
1,2018-10-03,2018-10-14,1,12
2,2018-10-15,2018-10-21,13,19
3,2018-10-22,2018-10-28,20,26
4,2018-10-29,2018-11-04,27,33
5,2018-11-05,2018-11-11,34,40
6,2018-11-12,2018-11-18,41,47
7,2018-11-19,2018-11-25,48,54
8,2018-11-26,2018-12-02,55,61
9,2018-12-03,2018-12-09,62,68
10,2018-12-10,2018-12-16,69,75
11,2018-12-17,2018-12-23,76,82
12,2018-12-24,2018-12-30,83,89
13,2018-12-31,2019-01-06,90,96
14,2019-01-07,2019-01-13,97,103
15,2019-01-14,2019-01-20,104,110
16,2019-01-21,2019-02-03,111,124
17,2019-02-04,2019-02-10,125,131
18,2019-02-11,2019-02-17,132,138
19,2019-02-18,2019-02-24,139,145
20,2019-02-25,2019-03-03,146,152
21,2019-03-04,2019-03-10,153,159
22,2019-03-11,2019-03-17,160,166
23,2019-03-18,2019-03-24,167,173
24,2019-03-25,2019-04-06,174,186
