Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
1,Connor,McDavid,EDM,C,92,82,42,70,20,247,39,29
2,Blake,Wheeler,WPG,C/RW,76,82,25,58,20,254,29,96
3,Jamie,Benn,DAL,C/LW,63,80,36,39,20,229,26,128
4,Sidney,Crosby,PIT,C,61,79,33,56,10,250,31,73
5,Tyler,Seguin,DAL,C,59,79,37,42,20,306,28,71
6,Nathan,MacKinnon,COL,C,56,76,34,54,10,260,31,46
7,Claude,Giroux,PHI,C/LW,51,81,28,55,20,212,29,28
8,Steven,Stamkos,TBL,C,50,77,29,57,20,217,30,60
9,John,Tavares,TOR,C,48,79,39,48,10,256,30,29
10,Jonathan,Marchessault,VGK,C/LW,48,76,30,42,20,207,25,102
11,Vincent,Trocheck,FLA,C,44,80,30,43,0,229,26,144
12,Brayden,Schenn,STL,C,38,81,28,44,10,190,25,152
13,Evgeni,Malkin,PIT,C,38,72,37,47,10,217,29,42
14,JT,Miller,TBL,C/RW,37,82,27,45,10,137,25,133
15,Anze,Kopitar,LAK,C,36,79,28,57,20,172,30,48
16,Auston,Matthews,TOR,C,31,77,41,36,20,250,27,22
17,Mark,Scheifele,WPG,C,31,73,28,52,20,167,28,69
18,Sebastian,Aho,CAR,C/LW,31,80,30,41,10,193,25,58
19,Joe,Pavelski,SJS,C/RW,29,81,24,39,0,226,22,92
20,Patrice,Bergeron,BOS,C,27,76,26,39,20,274,23,61
21,Mikael,Granlund,MIN,C/RW,27,79,23,47,20,175,25,48
22,Jack,Eichel,BUF,C,26,71,30,46,-10,249,27,40
23,Leon,Draisaitl,EDM,C/RW,26,79,27,47,10,170,26,40
24,Aleksander,Barkov,FLA,C,20,71,30,44,20,197,26,38
25,Ryan,Getzlaf,ANA,C,20,70,13,58,20,147,25,97
26,Evgeny,Kuznetsov,WSH,C,18,80,25,50,10,181,26,52
27,Nicklas,Backstrom,WSH,C,17,80,22,57,10,153,28,37
28,Pierre-Luc,Dubois,CBJ,C/LW,17,80,25,33,10,160,20,124
29,William,Karlsson,VGK,C/LW,13,82,33,35,20,129,24,48
30,William,Nylander,TOR,C/RW,11,80,21,43,20,187,22,22
31,Mathew,Barzal,NYI,C,8,82,21,53,10,166,26,23
32,Alex,Galchenyuk,ARI,C/LW,8,80,28,34,0,183,22,47
33,Ryan,Nugent-Hopkins,EDM,C/LW,5,69,27,33,20,159,21,45
34,Sean,Couturier,PHI,C,4,72,28,38,20,159,23,65
35,Jeff,Carter,LAK,C,4,74,26,32,10,230,20,73
36,Sean,Monahan,CGY,C,4,79,31,36,10,199,23,36
37,Logan,Couture,SJS,C/LW,4,76,32,27,0,194,21,45
38,Dylan,Larkin,DET,C,3,81,19,42,0,211,21,75
39,Elias,Lindholm,CGY,C/RW,1,77,20,40,0,157,15,102
40,Eric,Staal,MIN,C,0,82,33,36,10,216,17,42
41,Boone,Jenner,CBJ,C/LW,-2,76,16,21,0,197,9,202
42,Sam,Reinhart,BUF,C/RW,-3,81,28,33,-10,180,21,32
43,Ryan,O'Reilly,DET,C,-5,75,25,39,10,192,22,26
44,Ryan,Johansen,NSH,C,-5,80,15,44,10,156,21,82
45,Nico,Hischier,NJD,C,-9,82,22,34,20,177,20,59
46,Brayden,Point,TBL,C,-9,79,30,30,20,177,21,35
47,Nick,Foligno,CBJ,C/RW,-9,73,16,29,0,154,11,161
48,Nazem,Kadri,TOR,C,-10,79,30,21,0,234,13,107
49,Jordan,Staal,CAR,C,-12,78,19,28,0,157,16,161
50,Bo,Horvat,VAN,C,-13,76,22,39,0,157,21,56
51,Derek,Stepan,ARI,C,-13,80,17,39,0,208,20,39
52,Tomas,Hertl,SJS,C/LW/RW,-13,76,23,27,0,174,13,91
53,David,Backes,BOS,C/RW,-13,70,15,24,0,167,10,168
54,Jonathan,Toews,CHI,C,-15,75,21,34,0,196,19,53
55,Charlie,Coyle,MIN,C/RW,-15,80,19,31,10,144,13,96
56,Max,Domi,MTL,C/LW,-17,80,12,41,-10,150,19,44
57,Matt,Duchene,OTT,C,-18,78,27,31,-10,183,20,48
58,Elias,Pettersson,VAN,C,-19,76,21,30,0,175,20.4,61
59,Patrick,Marleau,TOR,C/LW,-24,82,25,17,0,203,11,70
60,Yanni,Gourde,TBL,C/RW,-24,79,21,32,10,127,13,60
61,Nick,Bjugstad,FLA,C/RW,-24,69,20,25,0,167,11,87
62,Tyler,Johnson,TBL,C/RW,-24,74,22,27,10,166,12,48
63,Mika,Zibanejad,NYR,C,-25,71,24,26,-10,174,18,77
64,Nick,Schmaltz,CHI,C/LW,-26,76,20,36,0,100,20,18
65,Erik,Haula,VGK,C/LW,-26,75,25,26,-10,135,13,76
66,Jonathan,Drouin,MTL,C,-27,75,19,34,-10,163,19,54
67,Robby,Fabbri,STL,C/LW,-28,68,18,24,0,150,12.6,85
68,Mikael,Backlund,CGY,C,-29,81,20,34,-10,187,14,58
69,Anthony,Beauvillier,NYI,C/LW,-29,74,21,24,10,126,11,87
70,Adam,Henrique,ANA,C,-31,81,22,25,20,148,16,62
71,Derick,Brassard,PIT,C,-33,78,20,23,0,192,11,97
