Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
1,Brent,Burns,SJS,D,98,82,20,49,-10,336,28,83
2,Victor,Hedman,TBL,D,81,78,18,50,20,187,27,116
3,Erik,Karlsson,OTT,D,74,76,15,54,0,219,28,69
4,Dustin,Byfuglien,WPG,D,71,77,10,40,20,228,20,170
5,Drew,Doughty,LAK,D,67,82,12,45,20,194,23,127
6,Shayne,Gostisbehere,PHI,D,56,76,14,49,10,200,25,47
7,Dougie,Hamilton,CAR,D,56,82,17,40,0,228,23,77
8,Matt,Dumba,MIN,D,56,80,15,40,20,154,22,133
9,Torey,Krug,BOS,D,56,79,12,48,0,214,24,66
10,Roman,Josi,NSH,D,54,76,14,41,20,223,22,64
11,Seth,Jones,CBJ,D,54,78,16,41,20,185,23,80
12,Rasmus,Ristolainen,BUF,D,53,78,8,35,-10,190,17,220
13,P.K.,Subban,NSH,D,50,76,15,38,20,183,21,102
14,John,Klingberg,DAL,D,48,80,11,51,10,168,25,44
15,Kris,Letang,PIT,D,47,69,10,40,0,203,20,113
16,Ivan,Provorov,PHI,D,43,82,15,30,20,183,14,161
17,Jake,Muzzin,LAK,D,40,80,9,32,0,181,16,178
18,Oliver,Ekman-Larsson,ARI,D,40,80,15,30,-10,195,18,144
19,John,Carlson,WSH,D,38,74,13,41,0,192,22,53
20,Keith,Yandle,FLA,D,36,82,8,49,10,174,23,27
21,Morgan,Rielly,TOR,D,33,77,7,47,0,171,22,50
22,Rasmus,Dahlin,BUF,D,32,80,11,31,0,220,16.8,96
23,Tyson,Barrie,COL,D,31,73,13,41,0,176,22,37
24,Ryan,Pulock,NYI,D,29,72,11,33,0,171,18,109
25,Zach,Werenski,CBJ,D,29,76,15,32,10,192,19,57
26,Alex,Pietrangelo,STL,D,28,77,13,37,0,191,20,45
27,Ryan,Ellis,NSH,D,22,70,13,40,20,145,16,55
28,Jeff,Petry,MTL,D,22,78,10,27,-10,163,15,155
29,Aaron,Ekblad,FLA,D,21,77,15,28,10,202,13,82
30,Colton,Parayko,STL,D,21,81,10,31,0,189,12,118
31,Colin,Miller,VGK,D,18,81,11,26,0,141,15,147
32,Mark,Giordano,CGY,D,17,81,12,27,0,191,16,78
33,Brandon,Montour,ANA,D,16,74,11,30,20,144,16,81
34,Ryan,Suter,MIN,D,15,74,8,36,0,153,18,67
35,Noah,Hanifin,CGY,D,15,79,10,34,0,131,18,87
36,Darnell,Nurse,EDM,D,15,78,9,20,20,160,9,172
37,Jake,Gardiner,TOR,D,12,81,7,44,10,128,15,55
38,Matt,Niskanen,WSH,D,10,75,5,30,10,139,11,138
39,Shea,Theodore,VGK,D,9,72,8,37,10,145,18,31
40,Charlie,McAvoy,BOS,D,9,70,9,33,10,87,13,133
41,Alexander,Edler,VAN,D,8,67,6,29,-10,148,14,123
42,Jacob,Trouba,WPG,D,7,66,7,30,10,145,11,113
43,Justin,Faulk,CAR,D,7,74,10,21,-10,213,9,122
44,Nick,Leddy,NYI,D,5,79,10,31,-10,134,16,83
45,Oscar,Klefbom,EDM,D,3,74,10,28,-10,188,15,47
46,Dmitry,Orlov,WSH,D,2,82,9,27,10,114,11,124
47,Mikhail,Sergachev,TBL,D,2,78,9,29,10,136,11,94
48,Kevin,Shattenkirk,NYR,D,1,68,8,32,-10,149,16,58
49,Michael,Del Zotto,VAN,D,0,70,6,17,0,118,7,211
50,Dion,Phaneuf,LAK,D,-1,78,7,21,0,147,8,154
51,Hampus,Lindholm,ANA,D,-2,72,10,24,20,125,10,102
52,Sami,Vatanen,NJD,D,-2,72,5,29,0,135,14,85
53,Mike,Green,DET,D,-3,73,9,28,-10,131,15,77
54,Alex,Goligoski,ARI,D,-4,79,7,29,-10,117,11,122
55,Esa,Lindell,DAL,D,-5,79,7,23,20,120,12,96
56,Duncan,Keith,CHI,D,-5,76,4,33,-10,166,15,37
57,Mike,Matheson,FLA,D,-5,81,10,25,0,171,11,60
58,Miro,Heiskanen,DAL,D,-7,75,8,23,0,160,9.3,94
59,Tyler,Myers,WPG,D,-8,75,7,29,10,138,11,60
60,Erik,Johnson,COL,D,-8,64,10,18,0,156,8,115
61,Neal,Pionk,NYR,D,-9,76,2,26,0,146,8,120
62,Adam,Larsson,EDM,D,-10,75,5,15,10,81,0,260
63,Alec,Martinez,LAK,D,-11,77,9,22,0,123,9,110
64,Mattias,Ekholm,NSH,D,-11,81,8,25,20,122,10,67
65,Justin,Schultz,PIT,D,-13,70,6,32,10,118,11,48
66,Josh,Anderson,COL,RW/D,-13,72,20,16,0,147,0,131
67,Thomas,Chabot,OTT,D,-13,75,11,26,-10,111,15,53
68,Josh,Morrissey,WPG,D,-14,81,8,28,20,99,0,141
69,Nikita,Zadorov,COL,D,-14,72,7,15,0,80,0,247
70,Brent,Seabrook,CHI,D,-14,80,7,24,0,145,9,77
71,Shea,Weber,MTL,D,-15,48,7,22,-10,118,12,99
72,Jared,Spurgeon,MIN,D,-15,69,10,27,0,122,11,53
73,Josh,Manson,ANA,D,-15,78,5,28,0,98,0,176
74,Damon,Severson,NJD,D,-15,76,8,25,0,113,10,84
75,Cam,Fowler,ANA,D,-16,72,8,26,0,140,14,24
76,Will,Butcher,NJD,D,-16,80,5,35,0,89,16,23
