Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,SO,SV%,GAA,W
1,Jack,Campbell,LAK,G,141,20,1,0.941176471,1.6,8
2,Antti,Raanta,ARI,G,108,57,4,0.925778661,1.964912281,31
3,John,Gibson,ANA,G,88,60,5,0.923349057,2.166666667,32
4,Sergei,Bobrovsky,CBJ,G,86,65,6,0.922239502,2.307692308,37
5,Carter,Hutton,BUF,G,73,51,2,0.9216,1.921568627,22
6,Braden,Holtby,WSH,G,70,63,5,0.918079096,2.301587302,38
7,Jonathan,Quick,LAK,G,69,67,4,0.919153554,2.223880597,34
8,Devan,Dubnyk,MIN,G,69,60,4,0.92,2.266666667,34
9,Pekka,Rinne,NSH,G,67,57,6,0.917532071,2.368421053,39
10,Andrei,Vasilevskiy,TBL,G,67,64,7,0.917269907,2.5,43
11,Connor,Hellebuyck,WPG,G,63,65,5,0.916755603,2.4,41
12,Philipp,Grubauer,COL,G,62,39,2,0.921450151,2,20
13,Ben,Bishop,DAL,G,57,54,4,0.918715847,2.203703704,28
14,Marc-Andre,Fleury,VGK,G,56,57,4,0.920047031,2.385964912,32
15,Frederik,Andersen,TOR,G,53,65,5,0.917384693,2.507692308,39
16,Tuukka,Rask,BOS,G,49,54,2,0.916269571,2.277777778,34
17,Corey,Crawford,CHI,G,43,47,2,0.922371207,2.340425532,22
18,Aaron,Dell,SJS,G,40,28,2,0.921017403,2.107142857,14
19,Martin,Jones,SJS,G,33,60,3,0.914723926,2.316666667,29
20,Juuse,Saros,NSH,G,32,28,3,0.923167849,2.321428571,13
21,James,Reimer,FLA,G,28,46,4,0.917282127,2.434782609,25
22,Roberto,Luongo,FLA,G,26,34,2,0.921890068,2.382352941,16
23,Cam,Talbot,EDM,G,23,62,4,0.914394766,2.532258065,32
24,Brian,Elliott,PHI,G,23,49,2,0.915241636,2.326530612,25
25,Matt,Murray,PIT,G,21,51,2,0.915050167,2.490196078,31
26,Jake,Allen,STL,G,20,60,1,0.91242236,2.35,31
27,Casey,Desmith,PIT,G,19,16,0,0.920374707,2.125,8
28,Mike,Smith,CGY,G,12,55,3,0.915402567,2.636363636,30
29,Jacob,Markstrom,VAN,G,7,60,3,0.912893983,2.533333333,28
30,Carey,Price,MTL,G,7,60,3,0.915120854,2.516666667,23
31,Linus,Ullmark,BUF,G,5,36,1,0.917165669,2.305555556,13
32,Henrik,Lundqvist,NYR,G,4,60,2,0.91502193,2.583333333,26
33,Michal,Neuvirth,PHI,G,0,27,1,0.912592593,2.185185185,14
34,Cory,Schneider,NJD,G,-9,46,2,0.91349739,2.52173913,20
35,Ryan,Miller,ANA,G,-12,26,2,0.917808219,2.538461538,11
36,Robin,Lehner,NYI,G,-12,45,2,0.915706052,2.6,17
37,Anton,Khudobin,DAL,G,-16,34,2,0.909502262,2.352941176,17
38,Jimmy,Howard,DET,G,-17,45,1,0.912070344,2.444444444,17
39,Craig,Anderson,OTT,G,-17,57,3,0.912310287,2.736842105,25
40,Jonathan,Bernier,DET,G,-18,39,1,0.912087912,2.461538462,17
41,Darcy,Kuemper,ARI,G,-18,27,1,0.91503268,2.407407407,9
42,Semyon,Varlamov,COL,G,-21,48,2,0.912102772,2.708333333,24
43,Alexandar,Georgiev,NYR,G,-21,27,1,0.918344519,2.703703704,13
44,Keith,Kinkaid,NJD,G,-27,31,1,0.910935738,2.548387097,18
45,Jaroslav,Halak,BOS,G,-32,32,2,0.912244898,2.6875,17
46,Scott,Darling,CAR,G,-33,52,2,0.906073446,2.557692308,23
47,Tristan,Jarry,PIT,G,-34,20,1,0.910280374,2.4,10
48,Thomas,Greiss,NYI,G,-35,43,1,0.912156863,2.604651163,14
49,Curtis,McElhinney,TOR,G,-40,11,1,0.916943522,2.272727273,5
50,Petr,Mrazek,CAR,G,-46,40,0,0.907706093,2.575,17
51,Mikko,Koskinen,EDM,G,-53,27,1,0.90523338,2.481481481,13
52,Malcolm,Subban,VGK,G,-57,24,1,0.907153729,2.541666667,10
53,Chad,Johnson,STL,G,-57,21,0,0.907826087,2.523809524,9
54,Charlie,Lindgren,MTL,G,-58,17,1,0.913602941,2.764705882,6
55,Alex,Stalock,MIN,G,-63,28,1,0.904502046,2.5,10
56,Ilya,Samsonov,WSH,G,-63,5,1,0.908396947,2.4,3
57,Cam,Ward,CHI,G,-66,29,0,0.906091371,2.551724138,9
58,Joonas,Korpisalo,CBJ,G,-68,15,0,0.911062907,2.733333333,6
59,Calvin,Pickard,TOR,G,-69,8,1,0.908296943,2.625,5
60,Mike,Condon,OTT,G,-70,27,0,0.906630582,2.555555556,6
61,Pheonix,Copley,WSH,G,-72,20,0,0.904580153,2.5,7
62,Anders,Nilsson,VAN,G,-75,25,1,0.908256881,2.8,9
63,Ville,Husso,STL,G,-75,8,1,0.90430622,2.5,5
64,Alex,Lyon,PHI,G,-76,8,0,0.905325444,2,4
65,David,Rittich,CGY,G,-76,11,0,0.904761905,2.363636364,5
66,Anton,Forsberg,CHI,G,-80,10,0,0.904214559,2.5,4
67,J-F,Berube,CBJ,G,-82,4,0,0.904761905,2.5,2
68,Callum,Booth,CAR,G,-82,4,0,0.904761905,2.5,2
69,Jon,Gillies,CGY,G,-82,15,1,0.901298701,2.533333333,8
70,Michael,Hutchinson,FLA,G,-82,8,1,0.902912621,2.5,4
71,Louis,Domingue,TBL,G,-83,24,0,0.906116643,2.75,8
72,Eddie,Lack,NJD,G,-104,10,0,0.8996139,2.6,4
73,Laurent,Brossoit,WPG,G,-116,15,1,0.892655367,2.533333333,7
74,Eric,Comrie,WPG,G,-290,7,0,0.879828326,4,3
