Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
1,Alex,Ovechkin,WSH,LW,108,82,45,39,10,359,29,153
2,Taylor,Hall,NJD,LW,78,77,36,50,20,270,30,72
3,Brad,Marchand,BOS,LW,66,76,35,53,20,222,31,49
4,Jamie,Benn,DAL,C/LW,63,80,36,39,20,229,26,128
5,Filip,Forsberg,NSH,LW,56,81,30,43,20,231,26,104
6,Claude,Giroux,PHI,C/LW,51,81,28,55,20,212,29,28
7,Jonathan,Marchessault,VGK,C/LW,48,76,30,42,20,207,25,102
8,Johnny,Gaudreau,CGY,LW,47,79,24,60,10,214,29,17
9,Artemy,Panarin,CBJ,LW,45,81,29,51,20,209,28,28
10,Rickard,Rakell,ANA,LW/RW,43,75,35,36,10,196,25,108
11,Evander,Kane,SJS,LW,35,71,29,26,0,280,19,131
12,Sebastian,Aho,CAR,C/LW,31,80,30,41,10,193,25,58
13,Gabriel,Landeskog,COL,LW,26,74,23,35,20,170,20,143
14,Jeff,Skinner,BUF,LW,23,79,28,37,-10,265,23,29
15,Jonathan,Huberdeau,FLA,LW,22,79,25,44,0,195,24,47
16,Ilya,Kovalchuk,LAK,LW/RW,22,76,30,32,0,250,24.8,24
17,Max,Pacioretty,MTL,LW,19,77,27,26,-10,267,19,95
18,Pierre-Luc,Dubois,CBJ,C/LW,17,80,25,33,10,160,20,124
19,William,Karlsson,VGK,C/LW,13,82,33,35,20,129,24,48
20,Jake,Guentzel,PIT,LW,12,78,28,34,0,161,16,129
21,Anders,Lee,NYI,LW,11,81,33,20,-10,194,19,131
22,Jaden,Schwartz,STL,LW,10,70,23,39,10,162,22,61
23,Evgeny,Dadonov,FLA,LW/RW,9,76,28,33,20,196,21,28
24,Clayton,Keller,ARI,LW/RW,8,81,25,40,0,203,23,7
25,Jason,Zucker,MIN,LW/RW,8,77,31,32,10,182,16,78
26,Alex,Galchenyuk,ARI,C/LW,8,80,28,34,0,183,22,47
27,Teuvo,Teravainen,CAR,LW/RW,7,80,23,42,10,163,23,26
28,Chris,Kreider,NYR,LW,7,73,23,27,0,166,18,142
29,Ryan,Nugent-Hopkins,EDM,C/LW,5,69,27,33,20,159,21,45
30,Logan,Couture,SJS,C/LW,4,76,32,27,0,194,21,45
31,Kyle,Connor,WPG,LW,4,79,30,32,10,180,22,21
32,Matthew,Tkachuk,CGY,LW,4,74,26,29,0,170,19,95
33,Nikolaj,Ehlers,WPG,LW/RW,3,79,31,32,10,201,16,40
34,Reilly,Smith,VGK,LW/RW,2,77,22,35,20,166,20,46
35,James,Van Riemsdyk,PHI,LW,2,80,33,24,10,244,14,39
36,Alex,DeBrincat,CHI,LW/RW,1,82,29,30,0,182,21,39
37,Travis,Konecny,PHI,LW/RW,0,80,22,32,20,165,14,101
38,Milan,Lucic,EDM,LW,-2,82,15,26,-10,149,10,234
39,Boone,Jenner,CBJ,C/LW,-2,76,16,21,0,197,9,202
40,Mike,Hoffman,FLA,LW/RW,-4,77,26,31,0,238,14,31
41,Nino,Niederreiter,MIN,LW/RW,-4,76,21,31,20,160,13,103
42,David,Perron,STL,LW,-9,75,15,39,0,142,14,105
43,Patrick,Maroon,NJD,LW,-12,77,18,25,0,144,11,166
44,Tomas,Hertl,SJS,C/LW/RW,-13,76,23,27,0,174,13,91
45,Anthony,Mantha,DET,LW/RW,-15,79,25,26,0,179,13,74
46,Ondrej,Palat,TBL,LW,-15,69,15,32,10,139,12,118
47,Max,Domi,MTL,C/LW,-17,80,12,41,-10,150,19,44
48,Timo,Meier,SJS,LW,-17,79,21,18,0,206,10,117
49,Tanner,Pearson,LAK,LW,-18,80,20,24,0,167,11,114
50,Kevin,Fiala,NSH,LW/RW,-20,78,21,28,20,174,12,44
51,Alexander,Killorn,TBL,LW,-21,81,16,27,20,162,11,85
52,Richard,Panik,ARI,LW/RW,-21,76,18,24,0,135,11,140
53,Brandon,Saad,CHI,LW,-23,82,21,25,-10,230,12,33
54,Tomas,Tatar,VGK,LW/RW,-24,81,25,21,0,167,12,77
55,Patrick,Marleau,TOR,C/LW,-24,82,25,17,0,203,11,70
56,Nick,Schmaltz,CHI,C/LW,-26,76,20,36,0,100,20,18
57,Thomas,Vanek,DET,LW/RW,-26,74,20,29,0,148,17,28
58,Erik,Haula,VGK,C/LW,-26,75,25,26,-10,135,13,76
59,Robby,Fabbri,STL,C/LW,-28,68,18,24,0,150,12.6,85
60,Conor,Sheary,BUF,LW/RW,-28,73,18,32,-10,138,18,29
61,Anthony,Beauvillier,NYI,C/LW,-29,74,21,24,10,126,11,87
62,Nick,Ritchie,ANA,LW,-30,76,15,18,0,132,0,229
63,Jake,DeBrusk,BOS,LW,-30,72,17,25,10,143,11,79
64,Charles,Hudon,MTL,LW,-31,71,15,19,-10,167,9,131
65,Zach,Parise,MIN,LW,-31,64,19,18,0,209,13,37
66,Ryan,Dzingel,OTT,LW/RW,-33,78,20,26,-10,116,16,64
67,Mikkel,Boedker,OTT,LW/RW,-35,79,15,28,-10,137,15,55
68,Danton,Heinen,BOS,LW/RW,-35,77,17,32,0,128,12,46
69,Ryan,Donato,BOS,LW/RW,-35,71,24,22,0,148,12,43
70,Justin,Abdelkader,DET,LW/RW,-36,74,13,18,0,123,8,159
71,Zach,Hyman,TOR,LW,-37,82,14,27,20,155,0,117
72,Kevin,Labanc,SJS,LW/RW,-37,79,14,34,0,136,12,35
73,Blake,Coleman,NJD,C/LW,-39,80,13,15,0,136,0,210
74,Andreas,Athanasiou,DET,C/LW,-39,74,19,29,-10,148,12,30
75,Brock,Nelson,NYI,C/LW,-40,81,19,22,0,158,10,53
76,Artturi,Lehkonen,MTL,LW/RW,-40,70,20,19,-10,162,10,71
77,Bryan,Rust,PIT,LW/RW,-40,64,17,20,10,115,9,100
78,Leo,Komarov,NYI,LW/RW,-40,74,14,14,0,119,0,219
79,Sam,Gagner,VAN,C/LW,-41,76,13,25,-10,156,13,50
80,Brendan,Perlini,ARI,LW/RW,-45,76,19,17,0,129,9,85
81,Tyler,Bertuzzi,DET,LW/RW,-46,71,11,26,0,110,9,92
82,Bobby,Ryan,OTT,LW/RW,-47,68,13,21,-10,135,9,93
83,Andre,Burakovsky,WSH,LW/RW,-47,67,15,27,0,108,11,53
84,Vladislav,Namestnikov,NYR,C/LW,-50,78,12,25,-10,124,9,76
85,Marcus,Johansson,NJD,LW,-51,74,21,23,-10,121,11,32
86,Joel,Eriksson Ek,MIN,C/LW,-51,79,14,22,0,122,0,137
87,Oskar,Lindblom,PHI,LW,-52,78,15,16,0,124,8,91
88,Devin,Shore,DAL,LW/RW,-52,82,13,23,-10,117,9,78
89,Valentin,Zykov,CAR,LW/RW,-52,71,17,22,0,124,10,38
90,Mathieu,Perreault,WPG,LW,-52,69,15,22,10,136,0,100
91,Andrew,Ladd,NYI,LW,-53,73,13,16,10,139,7,76
92,Jimmy,Vesey,NYR,LW,-54,79,18,14,-10,125,8,92
93,Matt,Martin,NYI,LW,-54,70,8,7,0,65,0,268
94,Colton,Sissons,NSH,C/LW,-54,76,11,19,0,82,8,121
95,Andrew,Cogliano,ANA,LW,-55,82,14,23,0,163,0,79
96,Brady,Tkachuk,OTT,LW,-55,76,11,20,0,92,9.3,95
97,Tyson,Jost,COL,C/LW,-55,70,15,19,0,120,12,36
98,Sam,Bennett,CGY,LW,-56,81,12,20,-10,140,0,127
99,Brock,McGinn,CAR,LW/RW,-56,77,15,16,0,126,0,132
100,Jakub,Vrana,WSH,LW/RW,-57,74,16,21,0,130,9,29
101,Carl,Hagelin,PIT,LW,-58,75,10,19,10,160,0,89
102,Sven,Baertschi,VAN,LW,-58,65,17,21,0,104,10,35
