Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
1,Nikita,Kucherov,TBL,RW,76,77,38,56,20,244,33,31
2,Blake,Wheeler,WPG,C/RW,76,82,25,58,20,254,29,96
3,David,Pastrnak,BOS,RW,51,76,36,41,20,225,27,65
4,Patrick,Kane,CHI,RW,51,82,28,52,-10,288,28,23
5,Phil,Kessel,PIT,RW,48,82,31,51,0,255,29,10
6,Patrik,Laine,WPG,RW,44,79,45,27,10,227,25,86
7,Rickard,Rakell,ANA,LW/RW,43,75,35,36,10,196,25,108
8,Vladimir,Tarasenko,STL,RW,40,74,35,30,10,270,23,74
9,Jakub,Voracek,PHI,RW,39,80,20,54,10,234,26,35
10,JT,Miller,TBL,C/RW,37,82,27,45,10,137,25,133
11,Patric,Hornqvist,PIT,RW,30,74,27,23,0,242,18,175
12,Mitch,Marner,TOR,RW,30,79,22,53,10,183,26,36
13,Joe,Pavelski,SJS,C/RW,29,81,24,39,0,226,22,92
14,Mikael,Granlund,MIN,C/RW,27,79,23,47,20,175,25,48
15,Leon,Draisaitl,EDM,C/RW,26,79,27,47,10,170,26,40
16,Alexander,Radulov,DAL,RW,25,79,26,43,0,182,24,76
17,Mikko,Rantanen,COL,RW,23,80,30,47,0,156,27,32
18,Viktor,Arvidsson,NSH,RW,22,79,30,34,20,234,22,30
19,Ilya,Kovalchuk,LAK,LW/RW,22,76,30,32,0,250,24.8,24
20,Cam,Atkinson,CBJ,RW,21,76,30,32,20,231,22,37
21,Dustin,Brown,LAK,RW,19,81,23,28,20,205,13,170
22,Wayne,Simmonds,PHI,RW,16,80,25,26,-10,212,18,151
23,Kyle,Palmieri,NJD,RW,14,75,26,29,0,199,19,116
24,William,Nylander,TOR,C/RW,11,80,21,43,20,187,22,22
25,Tom,Wilson,WSH,RW,9,79,17,29,10,104,16,228
26,Evgeny,Dadonov,FLA,LW/RW,9,76,28,33,20,196,21,28
27,Clayton,Keller,ARI,LW/RW,8,81,25,40,0,203,23,7
28,Jason,Zucker,MIN,LW/RW,8,77,31,32,10,182,16,78
29,Brock,Boeser,VAN,RW,8,69,29,33,0,197,22,35
30,Teuvo,Teravainen,CAR,LW/RW,7,80,23,42,10,163,23,26
31,Mark,Stone,OTT,RW,7,69,21,46,0,141,23,50
32,Nikolaj,Ehlers,WPG,LW/RW,3,79,31,32,10,201,16,40
33,Brendan,Gallagher,MTL,RW,2,73,26,25,-10,232,18,74
34,Reilly,Smith,VGK,LW/RW,2,77,22,35,20,166,20,46
35,Elias,Lindholm,CGY,C/RW,1,77,20,40,0,157,15,102
