Rank,First Name,Last Name,Team,Position,FHG Value,Games Played,G,A,+/-,SOG,PPP,HITS
1,Alex,Ovechkin,WSH,LW,108,82,45,39,10,359,29,153
2,Taylor,Hall,NJD,LW,78,77,36,50,20,270,30,72
3,Nikita,Kucherov,TBL,RW,76,77,38,56,20,244,33,31
4,Blake,Wheeler,WPG,C/RW,76,82,25,58,20,254,29,96
5,Brad,Marchand,BOS,LW,66,76,35,53,20,222,31,49
6,Jamie,Benn,DAL,C/LW,63,80,36,39,20,229,26,128
7,Filip,Forsberg,NSH,LW,56,81,30,43,20,231,26,104
8,David,Pastrnak,BOS,RW,51,76,36,41,20,225,27,65
9,Patrick,Kane,CHI,RW,51,82,28,52,-10,288,28,23
10,Claude,Giroux,PHI,C/LW,51,81,28,55,20,212,29,28
11,Jonathan,Marchessault,VGK,C/LW,48,76,30,42,20,207,25,102
12,Phil,Kessel,PIT,RW,48,82,31,51,0,255,29,10
13,Johnny,Gaudreau,CGY,LW,47,79,24,60,10,214,29,17
14,Artemy,Panarin,CBJ,LW,45,81,29,51,20,209,28,28
15,Patrik,Laine,WPG,RW,44,79,45,27,10,227,25,86
16,Rickard,Rakell,ANA,LW/RW,43,75,35,36,10,196,25,108
17,Vladimir,Tarasenko,STL,RW,40,74,35,30,10,270,23,74
18,Jakub,Voracek,PHI,RW,39,80,20,54,10,234,26,35
19,JT,Miller,TBL,C/RW,37,82,27,45,10,137,25,133
20,Evander,Kane,SJS,LW,35,71,29,26,0,280,19,131
21,Sebastian,Aho,CAR,C/LW,31,80,30,41,10,193,25,58
22,Patric,Hornqvist,PIT,RW,30,74,27,23,0,242,18,175
23,Mitch,Marner,TOR,RW,30,79,22,53,10,183,26,36
24,Joe,Pavelski,SJS,C/RW,29,81,24,39,0,226,22,92
25,Mikael,Granlund,MIN,C/RW,27,79,23,47,20,175,25,48
26,Gabriel,Landeskog,COL,LW,26,74,23,35,20,170,20,143
27,Leon,Draisaitl,EDM,C/RW,26,79,27,47,10,170,26,40
28,Alexander,Radulov,DAL,RW,25,79,26,43,0,182,24,76
29,Mikko,Rantanen,COL,RW,23,80,30,47,0,156,27,32
30,Jeff,Skinner,BUF,LW,23,79,28,37,-10,265,23,29
31,Viktor,Arvidsson,NSH,RW,22,79,30,34,20,234,22,30
32,Jonathan,Huberdeau,FLA,LW,22,79,25,44,0,195,24,47
33,Ilya,Kovalchuk,LAK,LW/RW,22,76,30,32,0,250,24.8,24
34,Cam,Atkinson,CBJ,RW,21,76,30,32,20,231,22,37
35,Dustin,Brown,LAK,RW,19,81,23,28,20,205,13,170
36,Max,Pacioretty,MTL,LW,19,77,27,26,-10,267,19,95
37,Pierre-Luc,Dubois,CBJ,C/LW,17,80,25,33,10,160,20,124
38,Wayne,Simmonds,PHI,RW,16,80,25,26,-10,212,18,151
39,Kyle,Palmieri,NJD,RW,14,75,26,29,0,199,19,116
40,William,Karlsson,VGK,C/LW,13,82,33,35,20,129,24,48
41,Jake,Guentzel,PIT,LW,12,78,28,34,0,161,16,129
42,Anders,Lee,NYI,LW,11,81,33,20,-10,194,19,131
43,William,Nylander,TOR,C/RW,11,80,21,43,20,187,22,22
44,Jaden,Schwartz,STL,LW,10,70,23,39,10,162,22,61
45,Tom,Wilson,WSH,RW,9,79,17,29,10,104,16,228
46,Evgeny,Dadonov,FLA,LW/RW,9,76,28,33,20,196,21,28
47,Clayton,Keller,ARI,LW/RW,8,81,25,40,0,203,23,7
48,Jason,Zucker,MIN,LW/RW,8,77,31,32,10,182,16,78
49,Alex,Galchenyuk,ARI,C/LW,8,80,28,34,0,183,22,47
50,Brock,Boeser,VAN,RW,8,69,29,33,0,197,22,35
51,Teuvo,Teravainen,CAR,LW/RW,7,80,23,42,10,163,23,26
52,Mark,Stone,OTT,RW,7,69,21,46,0,141,23,50
53,Chris,Kreider,NYR,LW,7,73,23,27,0,166,18,142
54,Ryan,Nugent-Hopkins,EDM,C/LW,5,69,27,33,20,159,21,45
55,Logan,Couture,SJS,C/LW,4,76,32,27,0,194,21,45
56,Kyle,Connor,WPG,LW,4,79,30,32,10,180,22,21
57,Matthew,Tkachuk,CGY,LW,4,74,26,29,0,170,19,95
58,Nikolaj,Ehlers,WPG,LW/RW,3,79,31,32,10,201,16,40
59,Brendan,Gallagher,MTL,RW,2,73,26,25,-10,232,18,74
60,Reilly,Smith,VGK,LW/RW,2,77,22,35,20,166,20,46
61,James,Van Riemsdyk,PHI,LW,2,80,33,24,10,244,14,39
62,Elias,Lindholm,CGY,C/RW,1,77,20,40,0,157,15,102
63,Alex,DeBrincat,CHI,LW/RW,1,82,29,30,0,182,21,39
64,Travis,Konecny,PHI,LW/RW,0,80,22,32,20,165,14,101
65,Antti,Suomela,SJS,F,0,62, , , , , , 
66,Cooper,Marody,EDM,F,0,20, , , , , , 
67,Milan,Lucic,EDM,LW,-2,82,15,26,-10,149,10,234
68,Boone,Jenner,CBJ,C/LW,-2,76,16,21,0,197,9,202
69,Sam,Reinhart,BUF,C/RW,-3,81,28,33,-10,180,21,32
70,Mike,Hoffman,FLA,LW/RW,-4,77,26,31,0,238,14,31
71,Nino,Niederreiter,MIN,LW/RW,-4,76,21,31,20,160,13,103
72,Josh,Bailey,NYI,RW,-7,79,15,47,-10,142,22,31
73,Jakob,Silfverberg,ANA,RW,-9,78,21,30,10,206,13,61
74,Nick,Foligno,CBJ,C/RW,-9,73,16,29,0,154,11,161
75,Tyler,Toffoli,LAK,RW,-9,77,23,28,0,213,13,68
76,Gustav,Nyquist,DET,RW,-9,80,22,29,0,180,18,58
77,David,Perron,STL,LW,-9,75,15,39,0,142,14,105
78,Jordan,Eberle,NYI,RW,-10,78,24,31,10,190,14,45
79,Mats,Zuccarello,NYR,RW,-11,80,15,35,-10,176,18,70
80,Craig,Smith,NSH,RW,-11,80,22,24,20,196,12,79
81,Patrick,Maroon,NJD,LW,-12,77,18,25,0,144,11,166
82,James,Neal,CGY,RW,-12,75,25,21,0,226,12,74
83,Tomas,Hertl,SJS,C/LW/RW,-13,76,23,27,0,174,13,91
84,David,Backes,BOS,C/RW,-13,70,15,24,0,167,10,168
85,Josh,Anderson,COL,RW/D,-13,72,20,16,0,147,0,131
86,Andrei,Svechnikov,CAR,RW,-13,78,24,22,0,200,13.8,78
87,Anthony,Mantha,DET,LW/RW,-15,79,25,26,0,179,13,74
88,Charlie,Coyle,MIN,C/RW,-15,80,19,31,10,144,13,96
89,Ondrej,Palat,TBL,LW,-15,69,15,32,10,139,12,118
90,Max,Domi,MTL,C/LW,-17,80,12,41,-10,150,19,44
91,Timo,Meier,SJS,LW,-17,79,21,18,0,206,10,117
92,T.J.,Oshie,WSH,RW,-18,74,19,27,0,152,12,113
93,Tanner,Pearson,LAK,LW,-18,80,20,24,0,167,11,114
94,Alex,Tuch,VGK,RW,-20,77,18,25,0,162,11,117
95,Kevin,Fiala,NSH,LW/RW,-20,78,21,28,20,174,12,44
96,Alexander,Killorn,TBL,LW,-21,81,16,27,20,162,11,85
97,Richard,Panik,ARI,LW/RW,-21,76,18,24,0,135,11,140
98,Justin,Williams,CAR,RW,-22,81,15,31,0,188,12,62
99,Brandon,Saad,CHI,LW,-23,82,21,25,-10,230,12,33
100,Tomas,Tatar,VGK,LW/RW,-24,81,25,21,0,167,12,77
101,Yanni,Gourde,TBL,C/RW,-24,79,21,32,10,127,13,60
102,Patrick,Marleau,TOR,C/LW,-24,82,25,17,0,203,11,70
103,Pavel,Buchnevich,NYR,RW,-24,73,17,33,0,122,18,50
104,Nick,Bjugstad,FLA,C/RW,-24,69,20,25,0,167,11,87
105,Tyler,Johnson,TBL,C/RW,-24,74,22,27,10,166,12,48
